psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,23,Female,76,NA,5,4,4,5
2,32,Female,74,5,4,4,4,3
3,57,Male,60,4,4,4,NA,3
4,43,Non-binary,69,4,3,4,2,5
5,50,Prefer not to say,80,3,3,3,3,4
6,19,Female,68,2,3,3,4,4
7,47,Non-binary,84,6,5,5,5,5
8,46,Female,NA,6,6,7,6,4
9,42,Female,87,5,4,5,3,4
10,35,Male,75,NA,NA,4,4,4
11,30,Female,72,4,4,5,4,5
12,64,Female,85,5,6,4,5,4
13,20,Male,58,1,1,2,3,4
14,37,Male,73,3,2,2,4,4
15,57,Male,67,4,5,NA,4,5
16,46,Female,76,6,6,5,7,5
17,51,Female,61,3,3,5,3,1
18,40,Female,81,5,3,4,4,4
19,33,Male,62,2,3,3,4,4
20,65,Male,77,5,4,NA,6,3
21,54,Female,68,3,4,3,2,5
22,68,Female,57,3,3,5,3,3
23,31,Female,57,2,2,4,3,1
24,39,Male,68,1,2,1,2,2
25,42,Male,100,5,6,6,6,NA
26,31,Male,70,5,5,6,5,4
27,34,Male,NA,7,6,7,7,7
28,47,Male,76,6,6,5,4,6
29,44,Male,70,3,2,4,NA,4
30,66,Female,70,2,2,3,4,3
31,54,Male,91,4,4,4,4,4
32,55,Female,67,3,4,4,3,4
33,56,Male,79,5,4,5,5,5
34,70,Male,90,3,3,5,4,3
35,70,Male,73,2,5,3,4,3
36,54,Male,55,3,NA,4,4,3
37,55,Male,54,2,4,3,3,NA
38,21,Female,81,7,4,7,6,5
39,42,Female,65,4,5,5,4,6
40,27,Male,69,5,4,4,5,4
41,28,Female,68,5,4,5,5,4
42,45,Female,65,4,3,3,4,3
43,51,Female,80,4,5,5,4,6
44,43,Non-binary,81,4,4,5,5,4
45,38,Male,68,5,6,5,5,5
46,60,Female,60,3,3,3,3,4
47,33,Male,77,3,3,3,3,3
48,42,Female,69,6,3,4,4,4
49,46,Female,78,4,5,4,5,5
50,42,Male,46,2,2,2,1,3
