psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Male,76,3,5,6,3,4
2,21,Male,79,6,6,5,5,6
3,36,Non-binary,74,4,NA,4,4,5
4,51,Male,59,3,5,NA,4,3
5,58,Male,70,4,4,4,3,3
6,48,Female,69,4,3,4,3,2
7,53,Female,84,6,6,7,6,NA
8,46,Female,71,3,5,3,5,5
9,44,Female,76,4,4,4,3,5
10,41,Female,81,4,3,4,4,4
11,58,Female,63,2,5,4,4,4
12,22,Male,83,4,1,3,2,2
13,19,Female,52,4,4,3,5,3
14,48,Prefer not to say,81,5,5,7,6,5
15,43,Female,59,2,2,1,2,3
16,45,Female,71,5,4,7,5,4
17,46,Female,70,5,5,5,6,4
18,48,Female,79,6,6,6,4,5
19,41,Female,100,5,7,6,7,5
20,24,Female,49,2,3,2,2,3
21,52,Prefer not to say,65,7,6,5,NA,5
22,21,Female,68,4,3,3,3,2
23,73,Male,76,4,4,5,4,5
24,34,Male,71,5,4,NA,5,3
25,33,Female,75,7,6,5,6,6
26,43,Female,68,NA,4,4,4,3
27,50,Female,95,5,5,7,7,6
28,31,Female,68,4,3,2,3,1
29,28,Male,82,5,NA,4,5,6
30,62,Female,90,5,6,6,7,4
31,35,Female,66,4,4,4,4,5
32,25,Male,87,3,4,3,4,3
33,66,Female,64,6,5,4,5,5
34,63,Prefer not to say,82,4,4,3,5,4
35,51,Male,57,3,5,2,4,6
36,24,Female,NA,4,3,4,3,3
37,34,Non-binary,NA,4,3,2,3,NA
38,44,Female,87,3,5,4,3,4
39,40,Female,63,5,5,5,4,4
40,23,Male,81,3,5,4,4,2
41,39,Male,71,4,3,3,5,4
42,55,Female,54,3,3,3,3,3
43,52,Male,83,NA,6,4,5,5
44,30,Female,77,5,4,6,6,4
45,40,Male,57,2,4,3,NA,3
46,39,Male,60,3,4,3,3,4
47,28,Female,73,5,4,3,5,3
48,33,Female,76,5,5,3,5,5
49,53,Female,87,5,4,6,6,7
50,40,Male,65,7,6,5,5,5
