psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,33,Female,65,4,4,3,2,3
2,30,Male,78,3,4,6,NA,5
3,34,Female,77,4,4,4,5,4
4,40,Male,54,3,2,3,4,3
5,42,Female,73,5,5,5,6,4
6,67,Female,53,1,2,2,2,2
7,46,Female,100,6,7,5,5,5
8,46,Male,54,5,4,4,6,3
9,70,Male,74,2,4,4,4,3
10,44,Male,83,4,5,5,4,5
11,57,Male,80,5,3,3,6,5
12,64,Female,84,5,5,4,5,5
13,33,Male,75,4,4,4,4,4
14,43,Female,69,3,2,5,3,3
15,51,Female,86,3,3,3,4,5
16,45,Male,60,3,3,4,3,3
17,20,Male,60,4,3,3,3,4
18,26,Male,71,5,5,4,4,5
19,45,Male,66,4,4,4,3,4
20,53,Female,99,5,7,6,6,4
21,24,Male,65,4,5,5,6,4
22,32,Female,49,2,4,2,3,1
23,52,Female,90,4,5,3,3,4
24,63,Non-binary,79,6,4,6,7,7
25,36,Male,45,3,3,1,2,2
26,40,Male,67,4,3,NA,3,2
27,38,Male,70,4,3,4,4,3
28,49,Female,62,4,4,NA,4,5
29,44,Female,62,5,4,4,3,3
30,55,Male,86,4,2,4,3,5
31,33,Female,69,4,5,6,4,6
32,52,Female,81,4,5,5,NA,5
33,50,Male,82,5,6,5,5,3
34,47,Female,58,4,2,3,3,4
35,71,Male,92,5,5,4,5,NA
36,41,Female,66,2,2,2,5,3
37,40,Male,73,4,5,5,4,4
38,37,Male,82,NA,NA,5,4,3
39,47,Female,50,2,2,2,2,2
40,60,Non-binary,77,4,4,4,5,4
41,46,Male,NA,3,1,3,3,1
42,37,Non-binary,NA,2,NA,4,4,4
43,27,Female,46,4,5,3,4,3
44,37,Prefer not to say,82,6,7,6,4,5
45,50,Non-binary,99,NA,5,4,5,6
46,53,Male,62,3,4,4,2,3
47,40,Female,64,6,5,3,4,NA
48,43,Female,68,3,5,4,3,3
49,36,Male,73,6,5,6,6,7
50,47,Male,47,4,1,3,2,2
