psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,29,Female,NA,3,4,2,2,4
2,29,Female,83,NA,4,6,5,4
3,34,Male,100,6,4,3,5,4
4,44,Female,96,6,5,5,5,4
5,37,Male,55,4,2,1,4,3
6,36,Female,60,2,3,2,NA,2
7,67,Non-binary,86,6,6,4,7,4
8,19,Female,39,2,1,3,2,1
9,54,Male,78,4,4,4,3,3
10,38,Female,63,2,2,2,3,1
11,37,Non-binary,37,1,2,2,3,2
12,33,Non-binary,79,5,5,4,5,5
13,68,Female,59,4,3,2,2,2
14,40,Male,82,4,5,6,4,5
15,18,Male,82,5,4,6,4,4
16,43,Female,70,4,4,3,3,4
17,50,Female,NA,3,4,5,3,3
18,45,Female,74,2,3,3,1,1
19,51,Male,72,4,4,6,4,NA
20,43,Male,81,6,5,3,5,4
21,42,Male,66,4,5,3,3,4
22,37,Female,100,6,6,5,5,7
23,49,Male,55,3,3,3,2,3
24,45,Male,90,4,6,6,5,NA
25,21,Female,71,NA,4,3,3,3
26,30,Male,84,4,5,5,4,6
27,31,Non-binary,71,5,4,4,5,6
28,18,Prefer not to say,56,3,1,3,3,3
29,62,Female,66,5,4,4,4,5
30,46,Female,81,4,5,3,4,3
31,30,Male,64,5,6,4,6,5
32,49,Prefer not to say,74,2,3,3,3,2
33,52,Male,61,4,4,4,NA,5
34,59,Female,67,4,5,6,4,5
35,27,Female,51,3,3,3,4,4
36,41,Male,75,5,4,4,5,5
37,56,Female,74,5,4,4,4,5
38,52,Female,87,5,5,6,5,4
39,25,Prefer not to say,84,5,4,5,6,4
40,45,Male,88,5,5,NA,6,5
41,42,Male,75,5,NA,5,5,4
42,57,Male,78,3,4,4,3,4
43,47,Female,94,4,4,4,4,5
44,34,Female,89,4,5,NA,4,5
45,36,Female,52,3,4,1,3,5
46,45,Prefer not to say,79,5,5,5,6,7
47,28,Female,75,4,6,5,5,4
48,57,Female,96,5,5,5,6,4
49,43,Prefer not to say,69,4,NA,3,4,4
50,22,Male,66,3,3,3,2,3
