psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,43,Male,73,4,5,5,6,5
2,37,Male,68,5,3,4,2,5
3,34,Male,71,5,3,2,4,4
4,32,Female,74,4,4,4,5,4
5,65,Male,80,5,6,5,6,5
6,37,Female,55,1,3,3,2,4
7,56,Female,83,4,5,5,3,5
8,40,Female,61,2,3,3,3,5
9,56,Female,79,4,5,4,5,4
10,18,Male,48,1,2,2,2,2
11,24,Male,47,2,3,3,4,2
12,24,Male,56,1,2,2,3,1
13,27,Male,81,4,4,5,3,3
14,39,Male,73,3,3,4,4,3
15,43,Female,73,3,3,4,4,5
16,27,Male,77,4,4,3,5,3
17,47,Male,60,3,4,5,3,4
18,48,Female,72,5,1,4,4,4
19,37,Male,61,4,5,4,6,2
20,53,Female,45,3,3,3,3,3
21,74,Male,77,6,5,5,5,4
22,62,Female,83,2,4,2,NA,5
23,34,Male,52,3,4,2,4,3
24,43,Male,78,5,5,5,NA,5
25,30,Female,72,5,5,4,5,4
26,57,Male,74,2,NA,3,3,NA
27,45,Male,78,4,6,5,4,5
28,36,Female,77,4,3,3,3,5
29,66,Male,78,4,4,NA,3,5
30,40,Male,86,5,6,4,5,5
31,44,Female,73,4,4,4,6,NA
32,40,Male,73,3,4,3,5,4
33,24,Female,79,5,3,2,2,4
34,54,Female,64,3,3,5,3,5
35,27,Female,59,NA,3,NA,3,3
36,53,Female,56,4,3,2,3,3
37,30,Male,83,5,4,7,5,4
38,43,Female,65,4,5,5,4,4
39,54,Female,56,3,NA,1,3,2
40,53,Non-binary,NA,NA,5,4,4,7
41,49,Female,80,5,6,6,5,5
42,62,Female,57,3,3,3,4,4
43,31,Female,93,5,4,5,7,4
44,24,Female,67,3,3,4,3,4
45,40,Female,52,1,4,2,1,3
46,43,Non-binary,71,4,4,4,4,4
47,23,Female,50,3,2,2,4,3
48,36,Male,71,5,6,6,5,4
49,28,Female,68,3,5,3,3,3
50,44,Male,NA,6,5,5,5,5
