psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,72,Male,76,5,5,4,4,5
2,39,Male,72,6,5,3,5,5
3,31,Male,65,5,3,4,4,5
4,47,Female,66,3,3,2,4,3
5,21,Female,69,4,5,4,2,3
6,48,Male,51,1,4,1,3,2
7,53,Male,84,5,5,4,5,6
8,37,Female,62,3,4,4,3,4
9,47,Male,81,5,4,5,4,5
10,22,Male,76,3,3,3,3,4
11,19,Male,79,4,5,4,4,5
12,71,Male,97,6,5,7,7,6
13,53,Female,71,6,7,5,4,4
14,71,Male,76,3,NA,3,5,5
15,53,Male,84,2,4,4,4,4
16,38,Female,68,4,2,3,2,3
17,24,Prefer not to say,74,3,4,3,4,2
18,44,Male,71,4,3,4,4,5
19,18,Female,62,3,5,NA,4,4
20,49,Male,71,3,4,3,4,4
21,53,Male,91,4,3,4,3,5
22,48,Male,78,5,5,5,5,5
23,27,Male,99,5,6,5,7,5
24,46,Female,81,5,5,5,3,3
25,58,Female,61,3,2,3,1,2
26,50,Prefer not to say,58,2,5,4,3,3
27,53,Female,75,5,5,4,4,5
28,20,Prefer not to say,64,3,4,4,4,4
29,33,Male,93,NA,6,6,7,6
30,22,Male,77,3,3,2,1,4
31,64,Male,75,4,5,3,4,4
32,40,Male,72,3,2,NA,4,3
33,34,Female,74,6,6,6,5,3
34,28,Female,70,2,2,4,NA,3
35,49,Male,NA,4,NA,3,4,3
36,28,Male,98,6,6,4,5,5
37,47,Male,57,1,3,2,2,4
38,63,Female,72,5,5,5,5,5
39,62,Male,63,3,3,3,4,1
40,59,Male,82,4,4,3,5,5
41,23,Female,75,5,4,4,4,4
42,47,Male,70,6,4,4,5,NA
43,28,Male,NA,2,3,3,2,1
44,57,Female,83,4,5,5,4,NA
45,28,Female,47,1,3,3,NA,3
46,57,Female,71,4,5,3,4,4
47,42,Male,63,5,5,3,4,4
48,50,Male,83,NA,4,3,3,3
49,33,Male,64,2,5,4,3,4
50,34,Male,47,3,2,4,2,3
