psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,42,Male,67,3,4,4,5,4
2,44,Female,72,4,4,NA,5,5
3,40,Male,74,3,3,4,3,4
4,37,Male,96,6,NA,6,6,6
5,63,Male,72,5,3,3,2,4
6,27,Female,80,5,4,2,5,4
7,59,Male,77,3,3,4,3,NA
8,20,Female,60,3,4,3,3,2
9,20,Non-binary,62,3,4,4,3,4
10,38,Female,82,5,6,7,5,6
11,56,Male,66,4,4,3,2,4
12,44,Female,92,5,7,5,5,6
13,45,Male,65,2,2,2,2,4
14,29,Male,81,4,3,3,4,5
15,72,Female,70,4,3,4,3,4
16,56,Male,68,5,3,3,4,4
17,44,Prefer not to say,NA,4,5,6,5,4
18,55,Male,75,4,4,6,5,5
19,50,Male,54,3,3,2,2,1
20,40,Male,56,NA,3,5,NA,1
21,33,Female,64,2,3,2,4,3
22,68,Non-binary,NA,5,5,6,5,6
23,43,Male,91,5,4,5,5,5
24,27,Non-binary,47,NA,3,3,3,4
25,23,Female,65,4,6,5,4,6
26,59,Male,72,4,4,5,4,3
27,37,Male,77,3,3,2,1,2
28,31,Male,72,4,NA,4,3,5
29,50,Male,97,4,5,4,4,5
30,61,Female,98,7,7,7,6,7
31,41,Female,64,5,3,4,4,5
32,33,Female,90,4,4,3,3,5
33,62,Male,68,4,6,4,2,4
34,53,Female,86,3,5,4,4,7
35,57,Male,71,3,3,3,4,5
36,26,Female,84,4,5,5,4,5
37,47,Female,97,7,5,7,5,5
38,43,Male,80,5,3,3,2,NA
39,26,Male,85,7,7,6,7,6
40,32,Male,74,1,3,3,4,3
41,57,Male,60,2,2,3,5,5
42,56,Male,57,4,3,NA,3,3
43,36,Prefer not to say,74,3,5,4,5,4
44,19,Female,83,6,6,5,5,5
45,73,Male,40,2,2,3,NA,3
46,44,Male,82,7,5,5,5,6
47,46,Male,74,5,4,5,5,4
48,57,Female,73,4,5,4,5,7
49,28,Male,97,4,4,4,4,4
50,18,Prefer not to say,100,4,6,5,4,6
