psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,20,Male,48,3,3,2,NA,2
2,57,Female,70,3,4,3,3,2
3,21,Female,92,NA,5,7,5,5
4,30,Male,82,1,3,3,2,3
5,57,Male,53,3,4,2,4,4
6,69,Male,73,3,5,4,5,4
7,58,Female,69,3,2,3,3,4
8,35,Female,75,3,4,3,4,3
9,38,Female,85,4,4,4,4,3
10,35,Female,85,7,7,6,6,7
11,31,Male,66,3,2,3,4,4
12,40,Prefer not to say,70,1,2,4,2,1
13,39,Male,85,4,5,4,1,4
14,25,Female,77,3,5,5,6,7
15,37,Female,52,4,3,3,4,2
16,18,Male,82,7,6,NA,5,5
17,52,Male,92,3,5,6,5,4
18,47,Female,61,4,3,5,3,2
19,44,Female,90,6,NA,5,4,6
20,45,Female,72,4,4,5,5,3
21,51,Female,81,6,6,5,6,5
22,69,Non-binary,58,4,1,3,4,4
23,24,Female,77,4,5,6,7,5
24,43,Female,67,4,3,2,2,3
25,21,Male,79,3,3,4,4,3
26,18,Male,NA,5,5,5,4,4
27,42,Male,63,4,3,3,4,3
28,46,Male,100,7,7,7,7,NA
29,50,Non-binary,76,6,6,6,7,7
30,36,Male,58,3,2,2,2,1
31,27,Male,66,4,NA,4,5,5
32,36,Male,70,3,4,4,4,3
33,41,Male,69,6,5,5,5,5
34,51,Female,60,3,5,2,3,4
35,50,Female,91,4,4,4,5,3
36,53,Male,61,3,2,NA,3,1
37,40,Male,61,2,4,3,2,3
38,22,Male,67,3,3,3,2,2
39,50,Female,68,5,4,5,5,4
40,22,Non-binary,47,NA,3,3,2,NA
41,38,Female,76,5,5,5,NA,5
42,50,Female,67,3,4,4,3,3
43,83,Prefer not to say,NA,4,3,5,5,2
44,24,Male,46,3,2,3,2,3
45,60,Female,65,5,4,2,3,4
46,31,Male,61,4,2,2,4,3
47,37,Male,83,4,6,5,5,7
48,32,Female,65,3,3,3,3,3
49,29,Male,73,3,3,1,3,2
50,50,Female,70,2,3,3,2,3
