psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,47,Male,74,2,4,3,3,4
2,21,Female,84,4,4,3,5,5
3,40,Male,78,4,5,5,5,5
4,67,Female,69,3,4,6,4,4
5,48,Male,67,3,4,2,4,5
6,62,Male,68,4,5,4,3,3
7,43,Male,58,2,3,2,NA,2
8,46,Female,52,4,4,4,4,4
9,45,Female,84,5,5,4,4,6
10,47,Female,58,4,NA,3,3,3
11,26,Male,73,4,3,4,3,4
12,35,Female,64,4,2,4,3,3
13,36,Male,74,4,5,4,4,4
14,27,Female,63,NA,3,3,4,2
15,30,Female,67,4,5,2,4,4
16,43,Female,65,4,6,4,5,7
17,50,Male,65,NA,3,3,4,5
18,18,Female,75,2,3,2,3,4
19,31,Female,60,3,4,5,5,5
20,30,Male,64,5,5,5,5,5
21,31,Male,NA,4,3,3,5,4
22,38,Male,57,3,4,4,3,3
23,23,Prefer not to say,83,4,5,4,4,3
24,65,Male,89,4,5,3,4,5
25,57,Male,69,2,1,2,4,2
26,72,Non-binary,74,4,4,4,6,4
27,37,Female,72,3,4,3,4,5
28,37,Male,77,4,5,5,4,5
29,49,Male,66,3,3,4,2,NA
30,30,Female,77,7,5,6,5,6
31,21,Female,69,5,5,6,5,5
32,26,Female,55,4,4,3,6,3
33,57,Female,77,2,3,2,NA,3
34,51,Female,68,4,1,4,4,4
35,33,Male,64,4,3,5,3,2
36,50,Female,57,3,4,3,3,4
37,21,Male,60,2,2,1,3,2
38,47,Non-binary,84,5,6,4,6,4
39,55,Female,82,5,4,3,5,4
40,46,Female,59,4,4,4,4,4
41,60,Female,96,6,5,5,5,4
42,38,Female,71,4,4,5,6,6
43,60,Prefer not to say,85,4,4,4,5,NA
44,77,Male,91,6,6,6,5,6
45,55,Female,78,6,5,5,7,7
46,49,Prefer not to say,NA,6,NA,5,5,6
47,56,Male,66,3,3,NA,4,2
48,38,Female,80,3,5,NA,3,5
49,44,Male,75,2,4,3,4,4
50,48,Male,87,6,5,5,5,7
