psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,28,Male,91,5,6,6,6,5
2,49,Male,58,5,4,6,6,6
3,62,Female,69,4,4,5,5,3
4,57,Male,82,5,5,5,5,6
5,29,Male,68,4,2,4,3,3
6,81,Male,74,4,4,5,3,4
7,38,Male,83,4,3,5,5,6
8,43,Male,68,5,5,6,5,5
9,50,Male,57,3,4,3,3,2
10,30,Male,72,4,4,5,5,3
11,52,Male,54,2,2,3,3,2
12,45,Male,64,6,5,6,NA,4
13,35,Female,61,4,5,3,4,4
14,68,Female,62,2,2,NA,2,3
15,34,Male,64,3,2,2,3,NA
16,47,Male,81,6,5,6,7,5
17,30,Non-binary,60,2,2,1,1,2
18,18,Female,69,5,4,4,4,5
19,23,Female,74,3,2,3,3,3
20,35,Male,65,4,6,4,5,NA
21,38,Male,47,2,2,2,2,3
22,46,Female,99,6,5,6,5,7
23,40,Male,89,5,5,4,5,5
24,75,Female,70,3,3,3,3,4
25,69,Male,60,4,3,3,3,2
26,22,Male,80,5,5,5,4,4
27,27,Female,79,4,NA,4,5,4
28,18,Female,99,7,7,7,6,7
29,43,Male,69,5,4,3,2,4
30,27,Female,58,5,2,4,2,1
31,37,Male,74,3,2,4,2,3
32,61,Male,90,4,5,6,4,5
33,21,Prefer not to say,84,5,4,6,5,6
34,31,Male,63,4,4,2,NA,5
35,45,Male,68,4,5,6,6,5
36,37,Male,NA,5,4,4,4,5
37,34,Prefer not to say,59,4,2,4,2,3
38,52,Male,98,NA,7,4,5,6
39,39,Female,54,NA,NA,NA,2,1
40,66,Male,49,4,3,1,2,2
41,36,Female,63,3,3,4,4,3
42,63,Female,94,7,6,6,7,4
43,52,Non-binary,81,5,5,3,4,3
44,82,Female,86,6,5,6,6,4
45,51,Female,94,4,3,4,5,4
46,34,Female,74,4,5,4,3,4
47,34,Female,83,4,5,5,6,5
48,69,Female,69,3,4,3,5,5
49,45,Female,NA,6,5,6,6,6
50,37,Male,49,3,1,2,2,2
