psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,18,Male,96,5,7,6,6,7
2,42,Male,66,4,3,3,4,5
3,49,Male,73,5,7,5,5,6
4,32,Male,68,1,3,2,3,3
5,42,Female,75,6,5,5,5,5
6,49,Male,57,4,2,3,3,3
7,35,Female,67,4,4,NA,6,4
8,54,Male,76,4,6,6,6,3
9,35,Female,79,NA,4,4,3,5
10,34,Male,70,3,3,3,3,4
11,26,Female,61,3,2,4,3,4
12,26,Female,53,2,2,3,4,3
13,21,Female,57,2,2,3,2,2
14,41,Male,71,3,4,4,4,5
15,32,Non-binary,73,6,5,4,7,4
16,30,Male,77,5,3,4,4,4
17,48,Female,75,4,NA,4,5,4
18,45,Prefer not to say,81,5,4,4,NA,3
19,64,Female,NA,4,5,3,4,5
20,62,Male,72,3,2,NA,2,4
21,33,Female,78,5,4,5,4,5
22,35,Female,71,3,2,3,3,4
23,62,Male,78,3,4,5,3,5
24,52,Male,66,4,4,4,3,4
25,44,Female,67,2,3,3,5,3
26,46,Female,67,4,5,4,5,4
27,45,Male,76,5,3,4,4,2
28,61,Male,81,5,5,6,6,5
29,49,Male,65,3,4,4,3,NA
30,36,Female,75,3,3,4,4,3
31,18,Female,62,1,2,2,2,1
32,21,Female,67,3,3,5,3,7
33,49,Female,74,4,4,5,4,4
34,19,Male,80,4,4,5,4,4
35,37,Non-binary,91,4,5,5,5,NA
36,26,Female,50,4,3,4,4,5
37,31,Female,82,6,6,6,6,6
38,46,Male,81,7,4,6,4,6
39,43,Male,63,5,4,5,4,6
40,61,Male,73,2,4,3,2,2
41,58,Female,74,NA,5,4,2,4
42,42,Female,82,5,3,4,NA,5
43,60,Female,63,3,4,3,3,5
44,28,Female,72,3,3,3,3,4
45,43,Male,66,4,4,3,5,3
46,42,Female,NA,4,3,3,3,1
47,26,Male,78,5,NA,4,4,4
48,38,Female,66,3,3,3,2,4
49,71,Male,61,1,2,1,2,2
50,41,Male,64,3,6,3,3,3
