psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,29,Male,86,3,3,4,NA,3
2,59,Female,59,5,4,3,3,4
3,64,Male,54,4,2,2,2,3
4,46,Female,66,2,4,5,5,5
5,63,Male,62,4,4,4,3,4
6,54,Female,86,3,6,4,4,5
7,55,Non-binary,81,3,4,4,3,4
8,42,Male,84,3,3,6,5,5
9,42,Male,73,4,4,NA,5,3
10,28,Male,92,3,NA,5,3,4
11,38,Female,82,3,5,5,4,6
12,21,Male,44,5,4,4,5,6
13,41,Male,70,5,4,5,5,4
14,48,Male,73,5,4,4,3,3
15,34,Male,79,4,3,5,6,6
16,45,Male,92,5,4,NA,6,4
17,43,Female,83,6,6,6,7,5
18,40,Male,68,4,3,3,3,4
19,19,Female,75,5,5,4,4,4
20,61,Male,47,2,2,4,2,1
21,39,Male,69,3,2,2,NA,3
22,45,Female,71,3,2,3,2,4
23,18,Female,63,4,4,3,3,NA
24,50,Male,82,NA,5,4,5,4
25,32,Female,84,6,4,5,6,4
26,70,Female,92,NA,5,4,5,4
27,31,Female,73,2,3,2,3,2
28,28,Male,70,5,5,4,4,4
29,44,Female,90,4,5,5,6,5
30,56,Male,72,3,2,3,4,4
31,51,Male,48,3,3,4,3,3
32,47,Male,85,3,5,5,4,2
33,56,Female,86,3,4,4,4,4
34,60,Female,100,4,NA,4,4,5
35,26,Prefer not to say,92,4,6,5,6,5
36,31,Female,73,3,3,4,5,4
37,50,Prefer not to say,78,6,4,4,5,5
38,62,Female,NA,5,5,4,3,NA
39,51,Female,NA,4,5,4,4,6
40,43,Female,74,6,5,6,5,6
41,46,Female,93,7,7,7,7,7
42,42,Female,100,6,4,6,6,6
43,64,Female,75,4,3,4,4,5
44,25,Female,88,4,5,4,4,5
45,74,Male,69,2,4,2,2,4
46,48,Female,84,5,5,6,7,5
47,39,Male,71,4,5,5,6,4
48,19,Male,61,2,1,3,2,3
49,50,Male,63,2,4,4,3,3
50,59,Female,87,6,6,6,7,5
