psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,64,Female,82,4,NA,5,4,6
2,20,Female,62,4,4,3,4,4
3,55,Female,79,5,4,5,5,NA
4,34,Female,94,3,4,NA,6,5
5,35,Female,92,4,3,5,3,5
6,68,Male,60,4,3,3,4,3
7,49,Female,67,5,3,4,2,4
8,35,Non-binary,58,5,4,4,4,4
9,30,Prefer not to say,67,4,6,4,4,3
10,44,Female,80,NA,5,5,5,5
11,36,Female,68,3,2,3,4,4
12,41,Female,87,3,5,4,5,4
13,33,Male,59,4,3,4,4,3
14,53,Male,61,2,2,2,3,2
15,45,Male,98,5,5,5,6,4
16,21,Female,72,3,4,2,NA,3
17,41,Non-binary,NA,4,5,4,6,4
18,26,Male,87,5,4,4,4,5
19,53,Male,67,4,5,3,5,5
20,45,Male,48,3,4,2,2,3
21,58,Male,54,3,5,3,3,3
22,38,Male,68,3,3,4,2,2
23,63,Male,63,3,5,5,4,3
24,20,Prefer not to say,63,3,4,4,3,3
25,33,Male,88,7,5,4,5,4
26,48,Male,97,5,3,4,5,4
27,56,Male,65,3,3,2,4,3
28,21,Male,98,7,7,6,6,6
29,57,Male,72,4,2,4,3,3
30,49,Male,87,6,5,5,7,6
31,20,Male,90,4,4,4,6,4
32,47,Female,71,3,4,4,NA,NA
33,65,Male,95,5,4,NA,5,5
34,45,Female,55,3,4,3,4,4
35,52,Male,60,3,NA,3,3,4
36,31,Male,61,4,5,5,5,5
37,49,Female,100,6,7,6,4,6
38,71,Female,81,3,5,5,5,4
39,74,Female,NA,2,2,3,3,1
40,47,Male,46,1,1,4,2,2
41,32,Female,65,4,3,2,2,4
42,20,Male,100,6,5,6,6,6
43,40,Female,63,2,3,1,1,2
44,54,Female,66,4,4,4,3,6
45,63,Female,52,3,4,3,4,1
46,39,Male,71,6,4,5,4,3
47,59,Male,69,2,3,4,4,5
48,44,Female,57,NA,7,6,6,5
49,49,Female,55,4,3,4,5,2
50,58,Female,69,3,3,3,3,3
