psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,50,Male,76,3,4,4,4,4
2,64,Prefer not to say,69,3,2,2,2,NA
3,32,Male,79,4,4,4,4,4
4,62,Female,74,5,5,4,4,4
5,61,Female,92,5,5,6,6,5
6,32,Male,79,6,5,7,6,5
7,38,Male,70,4,3,3,5,5
8,25,Female,87,5,4,4,4,5
9,30,Female,36,2,1,1,3,3
10,26,Female,NA,5,5,6,5,4
11,25,Male,74,NA,3,NA,4,5
12,39,Male,74,4,4,5,4,4
13,54,Male,100,5,5,5,5,6
14,52,Female,79,7,5,6,6,4
15,28,Male,81,7,NA,4,4,7
16,61,Female,73,4,3,4,3,4
17,55,Female,92,4,6,6,4,4
18,63,Female,75,4,3,4,3,3
19,21,Female,70,5,7,7,6,5
20,49,Male,65,4,4,5,3,4
21,35,Female,NA,5,5,NA,5,4
22,39,Male,30,NA,1,1,1,1
23,31,Male,74,3,4,6,3,5
24,34,Male,59,3,2,3,3,3
25,24,Male,86,6,6,5,6,6
26,55,Male,70,4,4,3,4,5
27,60,Non-binary,51,3,3,2,1,NA
28,48,Male,84,4,5,5,5,5
29,43,Female,68,3,3,2,2,4
30,23,Male,72,5,4,5,NA,5
31,46,Male,62,4,2,4,4,1
32,34,Female,74,5,NA,6,6,7
33,48,Male,71,4,4,5,4,4
34,22,Male,68,3,4,5,3,5
35,42,Male,64,4,6,5,5,5
36,37,Female,52,1,1,2,2,1
37,55,Male,79,4,4,4,4,7
38,44,Male,79,3,6,4,6,5
39,52,Male,84,6,4,5,4,5
40,23,Male,79,3,3,6,4,4
41,31,Male,84,5,5,5,7,5
42,23,Male,81,3,5,3,3,5
43,26,Male,49,2,4,4,4,4
44,32,Female,82,5,5,5,6,5
45,50,Female,62,4,5,4,NA,4
46,41,Female,53,2,3,2,3,2
47,49,Female,93,4,4,6,4,5
48,58,Female,66,4,6,5,4,4
49,26,Male,82,4,7,6,7,5
50,34,Male,66,4,4,3,3,3
