psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,19,Male,41,3,NA,2,2,NA
2,52,Non-binary,62,5,4,6,5,4
3,51,Female,64,4,3,4,4,3
4,28,Female,74,3,4,4,4,NA
5,51,Male,NA,3,2,5,NA,3
6,18,Female,70,4,4,4,5,3
7,21,Male,44,2,3,2,3,3
8,31,Female,88,5,4,5,5,3
9,32,Male,82,5,4,5,4,4
10,56,Prefer not to say,95,6,6,6,6,7
11,20,Female,75,3,4,3,4,4
12,27,Female,61,4,4,4,4,4
13,45,Female,86,4,4,4,5,4
14,65,Female,66,3,4,2,4,3
15,53,Male,60,NA,4,4,3,3
16,65,Male,56,3,2,3,2,2
17,76,Male,64,4,3,3,3,4
18,51,Female,75,5,6,4,5,6
19,21,Male,64,3,3,4,4,4
20,39,Female,62,5,3,4,3,3
21,54,Male,80,NA,5,4,5,4
22,67,Male,74,5,3,3,4,4
23,21,Female,98,4,5,4,5,4
24,33,Male,65,3,4,5,2,3
25,39,Male,NA,6,4,5,4,5
26,19,Male,83,3,4,2,3,3
27,30,Male,45,4,5,4,3,4
28,33,Female,97,7,6,5,7,6
29,39,Female,86,6,6,4,4,5
30,43,Female,50,3,2,2,3,4
31,78,Male,60,2,1,2,1,2
32,41,Male,65,4,2,2,3,4
33,49,Male,92,6,6,4,5,6
34,57,Male,72,3,2,2,3,4
35,35,Non-binary,44,2,4,3,3,4
36,19,Male,78,2,3,3,5,6
37,60,Female,36,2,1,3,2,2
38,41,Male,81,4,4,4,2,3
39,30,Female,78,4,5,5,5,4
40,72,Female,91,4,5,NA,4,5
41,32,Female,66,4,5,3,4,5
42,36,Female,66,3,3,3,2,2
43,52,Male,69,3,3,NA,4,5
44,38,Prefer not to say,71,2,3,3,NA,2
45,32,Female,74,3,4,2,4,5
46,47,Non-binary,58,3,NA,4,4,5
47,47,Female,69,5,5,5,5,5
48,33,Male,81,5,4,4,5,5
49,67,Male,60,4,4,4,5,3
50,47,Male,78,4,5,4,4,5
