psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Female,72,3,6,6,5,5
2,35,Male,61,NA,3,3,4,5
3,42,Female,63,2,3,2,1,2
4,37,Female,89,6,5,NA,5,5
5,53,Male,92,7,6,7,6,7
6,33,Female,43,2,2,3,2,2
7,48,Non-binary,69,3,2,3,3,4
8,43,Male,69,2,3,2,1,3
9,48,Female,75,4,NA,4,5,4
10,45,Male,60,3,2,2,NA,4
11,66,Prefer not to say,75,4,3,5,4,5
12,43,Male,65,5,3,4,5,5
13,26,Male,74,4,5,3,4,5
14,66,Female,77,4,6,3,3,5
15,39,Male,NA,4,5,5,4,5
16,43,Male,100,7,6,6,6,7
17,19,Female,72,6,5,5,4,6
18,49,Female,74,3,3,3,2,4
19,34,Female,60,3,2,3,4,2
20,45,Male,NA,4,6,6,6,5
21,49,Male,46,4,2,3,3,5
22,42,Female,61,3,4,NA,3,NA
23,27,Female,82,5,4,4,5,5
24,44,Male,82,3,3,4,3,4
25,46,Non-binary,48,1,1,2,2,2
26,43,Male,72,5,5,6,5,4
27,50,Male,80,4,4,3,5,4
28,69,Male,86,5,5,5,NA,3
29,39,Male,99,5,4,4,5,4
30,41,Male,69,6,4,4,5,4
31,31,Female,55,NA,3,3,3,3
32,44,Female,67,2,3,3,2,3
33,37,Female,82,3,4,2,3,3
34,44,Female,78,6,3,5,4,5
35,21,Female,68,3,3,1,2,3
36,20,Female,65,2,4,4,3,4
37,54,Female,61,4,4,3,3,3
38,36,Male,76,4,5,5,6,NA
39,57,Male,95,6,5,5,5,5
40,19,Female,76,3,5,5,6,4
41,19,Male,49,2,3,3,3,3
42,21,Non-binary,76,3,2,4,2,2
43,30,Male,70,4,3,4,3,3
44,49,Female,66,2,2,1,4,2
45,33,Female,83,4,NA,5,5,5
46,32,Female,81,5,5,5,5,4
47,55,Female,78,4,4,5,4,4
48,41,Male,42,3,2,2,3,2
49,53,Male,55,4,4,3,4,4
50,53,Male,74,3,5,3,5,4
