psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,46,Prefer not to say,78,4,5,5,4,6
2,40,Female,92,5,5,5,6,6
3,48,Male,72,4,6,4,3,4
4,37,Male,63,3,3,4,3,2
5,22,Male,80,5,5,5,5,6
6,41,Female,63,NA,7,4,6,5
7,59,Male,90,5,7,2,4,5
8,67,Male,72,4,4,5,4,3
9,67,Male,43,2,3,2,1,1
10,29,Male,76,NA,4,4,6,5
11,24,Female,75,5,4,5,NA,3
12,43,Female,96,5,4,5,6,5
13,35,Female,68,4,5,5,4,6
14,40,Female,78,7,NA,5,5,5
15,27,Female,85,3,3,3,3,4
16,19,Female,55,3,3,3,3,1
17,63,Male,65,5,4,4,4,4
18,25,Female,91,5,7,4,6,5
19,32,Female,46,3,2,2,4,2
20,48,Female,73,3,3,2,4,4
21,42,Male,82,4,5,4,4,2
22,29,Female,79,4,3,3,3,4
23,31,Female,81,4,4,4,4,4
24,58,Female,NA,3,6,4,4,5
25,47,Male,91,6,6,NA,5,5
26,49,Female,77,6,5,6,4,6
27,20,Male,73,3,6,5,4,3
28,48,Female,83,6,6,6,5,6
29,29,Male,81,4,5,6,4,NA
30,53,Female,NA,6,6,5,6,6
31,40,Female,81,4,NA,4,5,4
32,31,Prefer not to say,76,3,4,4,5,3
33,27,Non-binary,81,4,5,4,5,5
34,20,Male,76,4,4,4,5,2
35,41,Male,47,3,2,3,4,2
36,55,Prefer not to say,71,4,3,4,3,6
37,60,Male,83,4,4,4,4,4
38,31,Non-binary,67,2,3,4,2,4
39,18,Female,73,3,5,3,5,5
40,32,Male,88,6,4,6,6,6
41,43,Male,74,3,4,5,4,4
42,24,Female,89,3,4,NA,4,4
43,26,Prefer not to say,75,4,4,3,3,3
44,46,Female,94,4,4,4,4,3
45,20,Male,89,5,6,6,4,5
46,56,Male,82,6,3,5,6,4
47,39,Female,96,5,5,2,5,5
48,36,Male,60,4,4,4,2,4
49,66,Female,71,6,3,5,3,5
50,34,Female,48,3,3,3,NA,NA
