psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,22,Female,82,6,4,5,4,4
2,29,Prefer not to say,78,2,4,2,3,3
3,40,Female,60,3,4,3,5,NA
4,61,Male,65,3,NA,3,3,3
5,31,Female,90,5,4,5,5,5
6,30,Male,NA,1,2,3,4,2
7,66,Male,57,5,5,3,4,5
8,39,Female,75,3,2,2,2,3
9,54,Female,56,3,5,5,4,3
10,48,Female,81,4,4,3,5,5
11,63,Non-binary,67,3,4,4,2,3
12,57,Female,79,5,5,3,NA,4
13,52,Female,57,2,2,3,1,3
14,29,Female,62,4,3,3,3,NA
15,20,Male,77,3,4,2,3,3
16,38,Female,72,1,3,2,2,4
17,39,Female,85,5,4,3,3,4
18,18,Female,64,3,3,1,4,2
19,59,Male,37,4,3,3,2,2
20,49,Female,66,5,4,NA,4,5
21,47,Male,87,4,3,2,4,5
22,49,Male,76,4,4,3,4,4
23,38,Female,82,4,3,4,4,5
24,19,Male,63,2,4,3,3,4
25,28,Female,71,5,4,5,4,4
26,43,Male,97,7,6,5,5,7
27,39,Non-binary,81,NA,4,5,4,6
28,39,Male,42,1,3,2,2,1
29,52,Male,80,7,6,6,4,7
30,24,Female,81,5,4,4,4,5
31,40,Female,84,5,5,6,5,6
32,36,Female,71,3,4,5,4,4
33,42,Female,82,5,5,4,3,4
34,23,Male,62,4,4,5,4,3
35,53,Female,73,4,3,4,5,4
36,58,Prefer not to say,65,4,5,5,4,5
37,35,Female,72,4,5,5,3,5
38,49,Male,62,3,4,4,4,3
39,40,Male,73,4,4,3,NA,3
40,39,Female,77,NA,5,NA,4,4
41,33,Female,57,3,4,1,3,2
42,54,Male,67,3,NA,3,3,4
43,29,Female,60,3,4,4,2,4
44,22,Male,62,2,2,3,3,4
45,46,Female,67,3,3,2,3,3
46,39,Prefer not to say,82,3,3,3,3,2
47,28,Male,72,5,4,5,4,4
48,29,Male,80,5,6,6,5,4
49,20,Female,NA,2,3,2,3,5
50,42,Male,75,4,4,2,1,3
