psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,39,Female,69,4,4,4,5,3
2,59,Female,65,3,3,2,3,2
3,26,Female,67,3,3,5,4,5
4,49,Male,58,4,2,5,2,NA
5,20,Male,71,4,4,4,4,2
6,62,Male,59,1,3,3,2,3
7,34,Non-binary,69,4,4,5,5,4
8,39,Male,73,4,3,3,5,3
9,54,Male,76,4,4,3,4,4
10,50,Female,70,5,4,3,NA,4
11,45,Female,84,5,6,5,6,6
12,44,Male,94,6,4,NA,NA,6
13,32,Non-binary,50,3,3,4,2,1
14,32,Male,81,4,3,4,4,5
15,32,Female,71,5,5,5,5,4
16,57,Female,72,2,3,3,3,5
17,27,Non-binary,82,3,5,6,4,6
18,30,Male,86,6,5,6,6,5
19,33,Female,NA,5,5,5,5,5
20,49,Female,86,4,4,4,4,5
21,34,Female,77,4,5,5,4,6
22,20,Male,62,2,4,3,2,3
23,48,Male,71,3,3,4,4,3
24,55,Female,90,4,6,6,6,6
25,56,Female,100,6,7,6,5,6
26,57,Non-binary,68,5,4,4,2,4
27,75,Male,82,4,4,3,4,5
28,29,Female,76,4,4,5,2,5
29,41,Male,74,5,NA,4,5,4
30,56,Female,72,5,6,4,4,5
31,39,Female,73,NA,5,5,5,5
32,34,Male,86,3,4,4,4,4
33,62,Female,59,2,2,2,3,3
34,37,Female,59,3,3,1,3,2
35,64,Female,72,3,3,1,3,NA
36,55,Female,70,5,4,5,4,4
37,18,Male,NA,1,3,3,3,2
38,23,Male,61,4,5,4,4,3
39,60,Female,61,2,NA,2,4,3
40,59,Male,73,NA,5,4,3,4
41,36,Non-binary,87,3,4,3,3,4
42,49,Female,82,5,4,4,4,5
43,57,Male,73,4,2,4,3,3
44,29,Male,61,2,4,2,2,3
45,61,Female,56,4,4,6,4,6
46,50,Female,80,3,4,NA,5,3
47,18,Male,94,5,6,6,7,7
48,40,Female,100,4,5,6,5,7
49,34,Male,82,7,5,6,6,6
50,51,Male,83,7,5,4,6,4
