psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Female,54,3,3,3,5,4
2,60,Male,64,5,4,4,5,5
3,57,Male,69,5,4,4,4,6
4,31,Female,64,4,NA,4,4,5
5,42,Male,52,3,5,4,2,2
6,60,Male,NA,4,4,4,4,4
7,23,Male,75,4,5,5,NA,3
8,57,Female,47,3,2,4,6,4
9,60,Female,78,4,5,6,5,6
10,32,Male,61,2,2,2,2,2
11,32,Male,76,5,4,NA,6,5
12,32,Male,99,7,6,4,6,6
13,29,Female,78,3,3,5,2,4
14,44,Male,73,3,4,3,4,4
15,37,Female,65,4,4,4,5,5
16,20,Female,70,4,6,4,4,3
17,28,Female,76,6,4,3,5,5
18,44,Female,81,6,6,7,5,NA
19,34,Male,81,2,2,3,2,NA
20,25,Female,NA,5,6,5,4,5
21,76,Male,82,5,5,7,5,4
22,28,Prefer not to say,66,4,5,4,4,6
23,61,Male,84,3,2,3,3,2
24,19,Female,83,2,4,3,4,3
25,32,Male,65,2,4,2,3,5
26,25,Female,76,5,5,5,5,5
27,52,Male,75,4,4,4,4,6
28,72,Female,72,2,4,3,2,5
29,75,Male,55,NA,3,1,5,4
30,37,Male,100,7,5,7,7,6
31,52,Female,72,3,3,2,3,2
32,31,Male,59,4,4,5,4,5
33,44,Male,81,3,4,3,3,3
34,30,Female,70,3,4,3,3,2
35,55,Female,80,6,4,4,4,4
36,18,Non-binary,33,2,2,1,NA,1
37,41,Female,82,3,4,5,5,5
38,54,Female,80,4,4,4,3,3
39,53,Female,67,4,3,NA,4,4
40,42,Male,67,3,5,4,5,5
41,54,Female,46,2,2,3,1,2
42,18,Female,68,4,4,4,3,3
43,46,Male,91,2,4,3,3,3
44,50,Male,72,4,4,5,5,3
45,26,Female,80,4,NA,3,3,4
46,44,Female,90,5,6,4,6,5
47,51,Female,76,5,5,4,5,4
48,20,Male,59,NA,3,3,2,2
49,30,Male,87,7,5,7,6,4
50,43,Female,53,2,1,1,4,3
