psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,51,Female,76,4,3,2,2,2
2,66,Female,78,6,4,7,6,4
3,36,Female,94,5,6,6,6,NA
4,56,Non-binary,90,3,5,5,5,5
5,51,Male,89,6,6,6,5,6
6,42,Male,60,4,4,5,4,5
7,57,Male,83,6,6,6,5,5
8,47,Female,75,4,4,3,3,3
9,55,Female,68,4,3,3,3,1
10,49,Male,90,6,3,5,5,4
11,51,Female,59,NA,4,4,3,3
12,42,Male,80,2,4,6,3,4
13,51,Female,97,5,5,6,6,6
14,69,Female,69,1,3,2,2,2
15,58,Female,89,4,5,3,4,6
16,19,Prefer not to say,86,7,6,7,7,7
17,40,Non-binary,76,3,5,4,4,4
18,51,Male,66,4,NA,4,4,5
19,34,Female,81,6,5,NA,6,5
20,33,Male,53,1,3,3,NA,3
21,37,Prefer not to say,71,4,3,5,4,3
22,33,Female,78,5,6,6,4,6
23,41,Female,54,4,4,3,4,3
24,41,Male,77,4,4,5,4,4
25,50,Female,73,5,4,5,5,5
26,28,Male,84,7,7,7,7,7
27,30,Female,74,4,4,4,2,3
28,40,Male,52,3,4,2,3,3
29,20,Female,72,6,6,6,4,5
30,77,Male,NA,5,2,5,5,NA
31,40,Female,48,3,4,4,3,4
32,37,Male,56,4,4,4,5,5
33,41,Male,83,5,4,5,5,5
34,38,Female,80,4,5,5,4,5
35,37,Non-binary,75,5,4,NA,4,5
36,36,Male,78,6,6,7,7,6
37,26,Female,75,4,3,4,4,5
38,45,Female,74,5,4,4,4,6
39,43,Female,80,NA,6,5,6,6
40,36,Male,NA,5,5,5,4,4
41,51,Male,62,5,4,4,4,3
42,50,Female,69,4,2,2,NA,2
43,40,Female,66,3,7,3,3,3
44,62,Male,81,5,5,7,4,5
45,33,Male,86,3,5,3,3,4
46,23,Female,62,3,4,4,5,4
47,36,Female,56,3,4,5,4,3
48,73,Male,85,4,5,4,5,4
49,34,Prefer not to say,54,3,NA,1,2,4
50,49,Male,63,5,3,3,4,3
