psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,28,Female,69,2,3,3,1,3
2,33,Male,59,3,3,4,NA,3
3,47,Female,83,4,5,4,5,3
4,59,Male,74,5,6,6,5,4
5,44,Female,NA,3,2,1,2,3
6,20,Male,66,2,3,4,3,2
7,43,Female,84,4,3,4,3,4
8,27,Male,57,4,NA,3,3,4
9,34,Female,84,5,5,5,4,4
10,36,Female,74,3,4,2,4,4
11,57,Male,77,5,4,5,5,4
12,29,Female,65,3,4,3,4,NA
13,32,Male,86,6,7,5,7,5
14,39,Male,72,6,6,4,5,4
15,62,Female,64,3,3,4,3,2
16,26,Male,80,5,3,5,5,5
17,34,Male,NA,NA,6,5,5,6
18,40,Male,70,4,3,4,3,3
19,28,Male,58,4,4,NA,4,4
20,63,Female,65,5,3,4,5,5
21,21,Female,61,3,3,2,3,2
22,50,Prefer not to say,61,2,4,3,5,6
23,48,Male,75,6,3,5,4,5
24,58,Male,86,6,4,4,5,3
25,59,Male,80,5,3,4,4,4
26,37,Female,53,3,5,5,4,5
27,33,Female,62,2,3,2,3,3
28,46,Prefer not to say,60,4,2,3,3,2
29,39,Male,84,4,5,4,4,4
30,41,Non-binary,89,6,7,6,5,5
31,44,Male,75,4,6,4,5,4
32,62,Prefer not to say,92,4,5,5,5,6
33,69,Female,76,NA,3,4,5,4
34,46,Female,80,3,6,4,NA,3
35,56,Male,87,5,6,5,6,6
36,45,Male,62,7,5,7,4,5
37,43,Female,55,3,4,4,2,3
38,28,Male,92,6,6,5,6,5
39,44,Female,66,2,3,3,4,2
40,31,Female,62,3,NA,4,4,2
41,51,Male,44,2,2,2,4,3
42,66,Female,76,4,2,3,3,4
43,51,Female,78,2,4,3,3,NA
44,40,Male,54,2,3,NA,4,2
45,47,Male,70,5,4,5,3,4
46,33,Male,88,4,5,5,5,5
47,78,Female,63,4,4,3,3,3
48,55,Male,88,5,5,5,7,6
49,36,Female,78,5,4,5,5,6
50,42,Female,89,4,4,4,5,6
