psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,40,Male,73,5,4,6,2,3
2,38,Male,42,3,2,2,3,3
3,30,Female,66,3,3,5,4,4
4,28,Female,68,6,5,5,5,4
5,36,Male,64,3,4,2,3,NA
6,32,Non-binary,75,4,4,3,5,4
7,51,Female,75,5,5,5,4,5
8,21,Male,55,NA,3,2,2,2
9,66,Female,100,6,6,6,5,NA
10,30,Female,67,4,3,4,3,3
11,48,Male,61,5,3,5,4,3
12,40,Prefer not to say,93,7,7,7,6,7
13,54,Female,92,6,5,5,6,5
14,48,Male,59,3,3,NA,2,3
15,56,Female,71,3,3,6,3,2
16,28,Male,61,NA,5,4,5,4
17,42,Male,100,4,4,NA,4,4
18,42,Female,83,5,5,4,4,4
19,41,Male,71,5,5,4,4,4
20,48,Prefer not to say,NA,2,2,2,2,1
21,34,Female,NA,6,3,5,4,4
22,49,Male,65,5,6,6,5,4
23,40,Male,62,1,3,2,2,3
24,23,Female,76,4,3,3,3,2
25,51,Male,64,5,4,5,5,4
26,54,Male,79,4,3,4,4,3
27,30,Male,66,3,4,2,2,3
28,68,Female,62,4,4,4,4,5
29,30,Male,72,3,4,4,3,4
30,30,Male,61,6,4,5,5,3
31,30,Female,84,4,3,3,3,4
32,44,Male,78,5,6,7,6,6
33,45,Female,60,4,NA,2,2,3
34,53,Female,51,2,3,3,1,3
35,40,Prefer not to say,76,4,4,4,3,4
36,37,Female,72,5,6,7,5,5
37,54,Male,65,4,4,2,4,3
38,50,Male,58,4,3,3,2,4
39,42,Non-binary,71,3,2,2,3,2
40,20,Non-binary,77,5,4,5,4,5
41,42,Male,69,3,NA,4,4,5
42,30,Female,79,4,6,5,5,6
43,57,Male,86,6,6,5,6,6
44,41,Male,59,5,4,3,NA,3
45,42,Female,72,4,5,5,4,5
46,57,Male,59,4,5,5,3,4
47,46,Female,53,4,3,4,4,5
48,62,Male,99,6,6,4,5,5
49,26,Male,54,4,3,2,3,5
50,45,Non-binary,84,6,5,6,NA,5
