psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,75,Male,82,2,NA,4,3,4
2,41,Male,80,3,3,3,3,4
3,37,Male,NA,3,5,4,3,3
4,69,Female,58,5,4,3,4,3
5,24,Male,86,6,4,5,5,5
6,80,Male,83,4,6,5,6,5
7,22,Female,68,4,3,5,3,4
8,39,Male,91,4,4,7,6,6
9,40,Male,59,4,2,NA,3,NA
10,51,Female,62,3,4,5,3,2
11,49,Male,62,1,3,4,2,3
12,36,Male,70,5,4,4,4,5
13,39,Male,58,3,2,4,2,NA
14,41,Female,78,5,2,3,5,4
15,26,Male,53,1,3,3,2,3
16,41,Female,69,4,5,5,4,4
17,44,Male,67,3,3,4,4,3
18,52,Female,55,4,5,NA,5,3
19,38,Female,69,6,4,4,4,4
20,33,Male,60,2,4,3,4,4
21,57,Male,NA,4,4,3,3,3
22,19,Male,69,4,4,4,4,4
23,59,Non-binary,79,6,5,6,6,6
24,43,Male,73,6,6,4,6,4
25,57,Male,70,5,4,2,3,3
26,51,Female,77,4,3,4,3,4
27,44,Male,73,2,3,3,3,3
28,38,Female,62,3,3,2,4,3
29,31,Female,52,NA,2,3,2,2
30,30,Male,79,3,1,2,3,4
31,64,Male,65,4,4,3,3,3
32,66,Female,62,3,5,4,3,4
33,28,Non-binary,96,6,6,7,6,5
34,39,Female,93,7,5,7,5,7
35,59,Female,63,3,4,4,3,2
36,34,Female,83,5,5,7,4,5
37,50,Male,75,4,NA,4,3,4
38,50,Female,63,3,4,3,4,4
39,43,Male,63,NA,4,4,5,5
40,60,Male,75,3,4,5,4,3
41,52,Male,78,4,5,5,4,4
42,38,Female,53,3,4,1,NA,3
43,60,Female,48,4,2,3,4,3
44,55,Female,85,7,5,7,6,5
45,34,Female,80,5,4,4,6,5
46,35,Male,77,4,5,6,5,6
47,33,Female,87,5,6,4,6,5
48,65,Male,65,4,6,5,5,4
49,52,Female,46,3,3,2,3,3
50,46,Female,60,3,4,3,NA,3
