psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,58,Non-binary,91,5,5,7,5,4
2,44,Prefer not to say,67,2,2,3,2,3
3,58,Male,77,3,3,3,NA,4
4,63,Prefer not to say,80,4,3,4,4,3
5,63,Female,73,4,3,3,1,2
6,30,Male,68,2,5,4,3,4
7,32,Female,78,5,5,4,5,4
8,53,Male,51,1,2,1,1,2
9,56,Female,71,3,2,3,3,3
10,34,Male,75,5,5,5,6,4
11,31,Female,76,NA,4,3,3,5
12,36,Non-binary,59,3,2,4,2,3
13,43,Female,72,4,5,5,4,5
14,64,Female,60,3,3,3,2,3
15,44,Female,70,4,4,3,3,5
16,74,Male,68,7,5,NA,4,6
17,55,Male,55,2,3,3,3,3
18,46,Female,91,5,6,2,NA,6
19,59,Female,53,4,2,4,4,4
20,49,Male,89,4,3,5,5,4
21,42,Female,79,6,6,7,5,5
22,24,Female,71,4,3,6,3,4
23,53,Female,79,5,3,5,3,3
24,41,Male,73,4,4,4,4,6
25,38,Male,NA,6,5,4,4,6
26,28,Prefer not to say,79,6,6,5,5,3
27,69,Female,61,3,4,4,4,NA
28,50,Female,80,5,5,5,5,4
29,40,Female,78,6,4,6,5,6
30,41,Female,81,6,6,5,6,4
31,41,Male,83,4,5,6,6,5
32,38,Male,83,4,NA,NA,5,2
33,51,Prefer not to say,72,5,7,6,5,6
34,56,Female,76,4,5,4,5,6
35,29,Female,79,4,3,4,3,4
36,19,Male,69,4,3,4,4,4
37,49,Female,100,6,6,5,6,7
38,72,Female,NA,NA,4,4,5,3
39,33,Male,67,3,3,1,3,2
40,21,Non-binary,62,2,4,4,6,5
41,44,Male,64,4,3,5,4,3
42,54,Female,91,4,5,6,5,5
43,40,Female,54,4,4,3,4,4
44,48,Female,69,4,NA,5,6,6
45,36,Prefer not to say,70,4,4,4,2,3
46,50,Female,68,3,5,3,3,NA
47,50,Female,72,7,7,5,4,7
48,54,Female,73,6,4,6,4,6
49,54,Female,79,6,5,7,4,7
50,18,Female,66,6,3,5,3,4
