psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,27,Male,58,2,3,2,3,3
2,25,Male,66,4,3,4,3,2
3,39,Prefer not to say,86,5,7,6,7,5
4,49,Male,49,2,NA,2,3,3
5,41,Female,72,NA,4,3,5,5
6,31,Female,77,4,NA,3,4,5
7,46,Male,62,3,3,5,2,NA
8,45,Female,60,4,4,5,4,3
9,22,Male,72,2,2,2,2,5
10,28,Prefer not to say,68,5,6,5,6,2
11,48,Male,75,2,4,3,1,2
12,46,Female,74,5,4,4,4,4
13,53,Female,75,3,4,4,4,3
14,44,Male,50,4,3,3,2,3
15,56,Male,100,6,7,7,6,7
16,23,Female,59,5,4,5,5,4
17,22,Female,84,4,5,4,5,5
18,41,Female,73,4,4,NA,3,4
19,42,Female,57,3,4,3,3,3
20,60,Male,70,2,3,1,3,3
21,25,Male,86,5,4,3,3,4
22,45,Prefer not to say,63,4,6,4,NA,6
23,43,Female,NA,4,4,3,4,4
24,20,Female,77,3,4,4,5,NA
25,32,Prefer not to say,73,6,3,4,4,3
26,44,Male,73,3,3,3,2,3
27,50,Male,70,3,2,2,3,2
28,49,Female,93,3,4,3,3,4
29,19,Male,62,3,3,3,4,3
30,23,Female,97,6,7,5,5,5
31,40,Female,57,5,3,4,4,4
32,21,Female,61,4,1,3,2,2
33,40,Non-binary,84,4,3,5,5,4
34,25,Female,69,3,3,4,4,5
35,39,Male,61,6,3,4,3,3
36,28,Male,68,2,4,2,1,3
37,23,Male,81,NA,5,5,4,5
38,53,Female,61,4,3,3,3,2
39,29,Male,76,4,6,4,6,4
40,35,Male,69,4,4,3,3,5
41,62,Male,75,3,4,3,3,5
42,29,Female,58,5,5,3,NA,4
43,54,Female,67,5,3,4,3,5
44,50,Male,54,3,3,NA,3,3
45,74,Female,52,5,5,5,4,3
46,49,Male,72,3,4,4,3,3
47,46,Female,NA,5,4,4,5,5
48,61,Female,81,5,4,6,5,6
49,56,Female,84,5,4,6,5,5
50,35,Female,58,4,5,5,3,2
