psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,60,Female,NA,1,3,3,1,3
2,51,Female,79,6,5,5,5,3
3,26,Male,89,5,4,5,4,4
4,49,Female,55,2,4,3,2,2
5,32,Female,83,2,5,5,5,5
6,26,Female,62,3,3,3,4,2
7,71,Prefer not to say,60,5,5,4,4,3
8,38,Female,50,4,4,2,1,3
9,55,Female,66,4,5,4,4,3
10,24,Male,82,5,4,4,4,4
11,66,Male,68,3,2,3,3,3
12,31,Female,51,2,2,3,2,NA
13,43,Prefer not to say,65,2,3,5,NA,3
14,52,Female,86,5,5,5,NA,4
15,27,Male,61,2,2,2,1,2
16,42,Female,65,3,3,4,3,3
17,42,Female,64,5,5,4,4,3
18,62,Male,70,5,4,6,5,4
19,53,Male,80,6,5,5,5,4
20,28,Male,67,5,6,4,4,NA
21,56,Male,79,6,7,5,7,5
22,48,Female,83,5,5,3,6,5
23,20,Prefer not to say,89,6,5,6,4,5
24,55,Male,73,3,1,2,3,1
25,34,Male,63,4,4,4,3,4
26,18,Male,88,4,4,NA,6,5
27,19,Prefer not to say,81,4,4,3,4,5
28,49,Female,NA,5,5,5,6,5
29,28,Female,78,6,5,NA,6,5
30,36,Male,84,5,5,5,3,6
31,30,Male,70,5,4,5,5,5
32,64,Non-binary,70,3,3,5,4,4
33,39,Female,79,4,3,3,4,3
34,59,Prefer not to say,57,2,NA,4,3,3
35,33,Female,72,4,5,4,4,3
36,50,Female,71,NA,3,5,4,3
37,57,Male,74,6,5,6,6,6
38,19,Male,71,4,4,4,4,4
39,33,Male,71,2,2,2,3,3
40,33,Non-binary,64,4,3,2,1,2
41,26,Female,58,4,4,7,5,5
42,45,Male,85,6,6,3,7,6
43,48,Male,75,7,5,6,6,5
44,49,Prefer not to say,75,NA,4,6,3,4
45,75,Female,74,5,6,5,5,5
46,42,Male,83,6,5,4,5,4
47,49,Female,67,4,3,3,4,3
48,34,Male,100,5,5,6,5,5
49,26,Male,82,5,NA,5,5,4
50,55,Male,63,4,5,5,5,4
