psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,32,Male,84,4,NA,5,4,4
2,20,Male,77,3,4,3,4,4
3,35,Male,75,4,7,5,6,4
4,43,Female,72,3,4,5,5,4
5,76,Female,76,4,5,4,4,4
6,19,Male,71,3,5,4,4,3
7,19,Female,72,4,5,5,5,4
8,18,Male,78,5,5,5,5,6
9,45,Female,76,3,3,2,4,4
10,25,Non-binary,79,5,5,4,NA,4
11,29,Male,69,3,4,4,4,3
12,46,Prefer not to say,78,4,4,3,3,3
13,20,Male,47,3,3,3,3,3
14,49,Female,72,4,5,5,4,4
15,40,Female,89,5,5,4,NA,5
16,51,Male,NA,6,6,5,7,7
17,19,Female,69,3,2,3,2,3
18,41,Male,71,3,5,2,2,2
19,48,Prefer not to say,76,4,NA,2,3,4
20,45,Female,100,5,5,5,6,6
21,23,Female,87,4,6,NA,5,5
22,18,Male,74,3,5,5,4,5
23,46,Non-binary,74,6,4,4,4,3
24,33,Male,42,2,3,2,3,3
25,41,Female,82,3,4,6,4,5
26,25,Male,92,5,6,5,4,4
27,35,Male,59,4,3,5,3,5
28,42,Non-binary,62,3,4,3,3,5
29,42,Female,66,3,3,2,4,3
30,23,Female,85,3,4,3,4,3
31,51,Female,71,3,2,4,3,2
32,20,Female,71,5,6,4,5,5
33,43,Male,90,4,4,4,3,4
34,21,Female,76,3,3,4,3,4
35,52,Male,68,NA,3,4,4,3
36,19,Prefer not to say,74,4,4,4,4,4
37,54,Female,91,7,7,7,7,7
38,40,Female,61,1,2,1,3,NA
39,42,Female,99,3,7,5,5,5
40,34,Male,60,3,2,3,3,3
41,40,Male,77,4,4,3,4,4
42,19,Male,68,4,5,5,5,NA
43,63,Female,NA,4,4,4,4,3
44,51,Male,46,4,5,6,5,4
45,37,Male,79,5,3,3,3,3
46,34,Male,73,NA,3,4,2,3
47,53,Male,91,4,6,5,5,6
48,50,Female,71,6,6,NA,4,4
49,54,Male,89,7,6,6,5,7
50,53,Male,71,5,3,4,4,3
