psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,31,Female,91,4,6,4,5,4
2,43,Male,62,3,2,3,3,3
3,45,Female,63,4,3,4,6,6
4,53,Female,70,3,4,4,2,4
5,42,Non-binary,70,5,6,6,5,5
6,23,Male,83,6,5,5,4,5
7,37,Male,82,4,6,5,6,5
8,51,Prefer not to say,75,4,5,6,5,4
9,46,Male,94,6,4,5,5,4
10,28,Male,76,3,3,4,4,4
11,48,Male,84,6,5,7,4,NA
12,46,Male,46,2,4,1,2,2
13,48,Female,86,4,5,5,5,5
14,50,Female,66,5,3,3,4,4
15,47,Non-binary,74,3,3,3,4,3
16,18,Male,90,4,4,4,6,5
17,36,Male,72,3,5,4,5,2
18,53,Female,62,4,4,4,4,3
19,28,Male,73,4,5,5,4,4
20,41,Male,68,4,3,NA,NA,6
21,31,Male,80,5,5,6,7,5
22,24,Male,49,2,1,2,2,2
23,49,Female,72,4,5,4,4,5
24,43,Male,80,3,NA,2,2,2
25,32,Male,NA,4,3,2,3,4
26,40,Female,64,3,3,3,1,2
27,33,Female,68,4,4,NA,3,3
28,42,Female,57,2,2,3,2,3
29,41,Female,59,2,3,1,3,3
30,29,Male,64,5,4,5,4,5
31,55,Male,96,5,NA,5,6,4
32,53,Male,63,5,5,6,4,5
33,55,Female,67,NA,4,4,3,7
34,46,Female,59,NA,3,4,3,4
35,54,Prefer not to say,57,4,3,4,4,NA
36,49,Male,69,4,5,4,3,5
37,55,Male,85,5,4,3,5,5
38,30,Male,56,3,3,4,3,3
39,20,Non-binary,70,3,4,3,4,3
40,32,Female,67,1,2,2,4,2
41,42,Female,51,4,4,3,3,4
42,62,Male,49,3,2,1,3,1
43,54,Male,87,5,5,5,5,5
44,79,Female,NA,4,5,5,3,6
45,34,Female,59,3,2,1,3,3
46,74,Female,60,4,5,3,3,3
47,49,Female,48,2,2,3,3,2
48,57,Female,81,5,4,4,NA,6
49,48,Female,99,4,4,5,4,5
50,19,Male,57,2,4,4,4,5
