psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,57,Male,82,5,5,4,6,5
2,57,Male,100,5,5,4,4,5
3,18,Male,84,5,6,4,NA,5
4,52,Female,80,4,3,4,4,5
5,24,Male,53,4,3,3,3,3
6,69,Female,83,5,5,4,5,NA
7,20,Female,59,3,5,5,3,3
8,23,Prefer not to say,70,4,NA,6,5,5
9,29,Male,84,3,4,4,4,3
10,39,Female,66,1,4,1,2,2
11,20,Male,65,6,5,4,6,6
12,45,Female,71,6,3,5,6,3
13,28,Female,65,2,4,3,3,4
14,52,Male,NA,5,3,6,4,5
15,41,Male,70,3,4,2,2,4
16,50,Non-binary,71,4,3,3,2,3
17,40,Female,58,NA,3,2,3,4
18,40,Female,70,4,3,3,4,3
19,56,Male,72,4,5,5,5,4
20,30,Male,81,7,7,6,7,6
21,41,Prefer not to say,69,2,3,2,3,3
22,27,Female,83,5,6,4,5,5
23,26,Male,65,4,2,3,3,4
24,32,Male,70,NA,5,5,5,5
25,61,Male,63,3,2,3,NA,1
26,51,Female,85,4,6,6,4,5
27,37,Female,95,5,6,7,5,5
28,43,Male,76,5,5,NA,5,6
29,86,Male,69,3,5,3,5,4
30,19,Female,50,5,4,NA,4,4
31,58,Male,93,5,5,6,5,5
32,41,Female,89,5,5,4,4,4
33,36,Male,73,4,3,5,5,5
34,44,Female,55,4,4,3,5,3
35,46,Male,77,3,4,3,5,2
36,63,Female,100,4,4,6,4,3
37,63,Female,58,3,4,3,3,3
38,50,Female,72,4,6,5,4,5
39,21,Female,89,5,6,6,6,6
40,19,Male,NA,4,4,3,4,NA
41,48,Female,53,4,NA,3,3,4
42,50,Male,82,3,4,5,5,5
43,50,Male,69,6,7,5,4,5
44,31,Male,87,5,4,4,5,4
45,54,Male,97,5,6,4,5,5
46,52,Female,73,4,4,6,5,4
47,21,Male,88,4,4,3,3,4
48,34,Female,69,5,4,5,4,4
49,41,Female,77,5,4,5,5,5
50,52,Male,80,4,4,5,5,4
