psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,26,Male,66,5,4,5,3,3
2,20,Female,48,3,NA,3,5,2
3,26,Prefer not to say,67,4,4,4,6,3
4,45,Male,78,5,4,7,NA,6
5,38,Female,68,4,5,5,4,5
6,30,Female,69,4,4,4,3,5
7,37,Male,72,5,NA,7,5,6
8,26,Female,79,5,3,5,3,5
9,18,Female,75,2,4,4,4,3
10,48,Female,90,3,3,4,4,5
11,58,Female,72,3,3,4,5,3
12,48,Female,80,6,5,4,5,5
13,31,Female,75,3,5,5,6,NA
14,33,Male,83,5,5,6,6,5
15,47,Female,56,4,2,5,3,4
16,36,Male,86,4,3,3,3,4
17,47,Male,68,6,7,4,NA,5
18,25,Male,86,5,5,5,5,4
19,22,Female,73,4,3,NA,4,3
20,64,Female,50,3,2,2,3,4
21,56,Male,50,5,3,2,4,3
22,50,Male,55,1,3,1,2,2
23,45,Female,66,2,4,4,3,3
24,32,Female,84,5,6,4,5,4
25,29,Female,72,4,5,5,5,3
26,43,Male,100,6,5,6,7,4
27,60,Female,39,4,5,4,4,3
28,22,Male,72,2,6,3,3,4
29,31,Male,74,6,3,4,5,4
30,46,Male,63,5,4,3,4,4
31,51,Male,80,5,4,4,4,5
32,36,Male,76,NA,6,4,5,6
33,71,Female,57,4,3,4,4,4
34,27,Prefer not to say,NA,7,4,5,4,5
35,47,Male,73,6,6,5,5,NA
36,48,Prefer not to say,55,1,3,3,2,2
37,38,Male,70,5,6,6,4,4
38,41,Male,70,4,4,5,3,5
39,46,Male,NA,6,5,5,5,5
40,40,Female,75,NA,6,6,5,4
41,40,Male,72,4,5,3,6,5
42,25,Male,93,4,3,4,3,4
43,66,Female,59,2,3,3,2,3
44,61,Male,92,5,6,7,6,7
45,20,Prefer not to say,53,2,2,2,3,4
46,55,Male,56,3,3,2,1,3
47,39,Female,73,5,4,4,5,5
48,71,Male,67,3,4,4,4,3
49,42,Female,56,3,4,NA,4,4
50,91,Female,70,3,3,5,5,5
