psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,21,Male,72,5,4,NA,3,4
2,64,Male,81,3,4,4,5,4
3,52,Male,NA,7,6,6,5,5
4,34,Female,78,7,4,6,NA,5
5,47,Female,54,4,2,2,3,3
6,47,Female,70,6,6,5,5,6
7,50,Prefer not to say,41,3,2,1,1,1
8,42,Female,76,4,4,5,5,4
9,30,Male,71,5,4,4,4,5
10,46,Male,66,3,3,5,3,4
11,52,Prefer not to say,59,2,4,4,2,2
12,21,Female,75,5,5,4,4,4
13,41,Female,83,6,5,5,7,5
14,39,Female,55,3,2,4,3,3
15,49,Female,80,4,5,4,5,3
16,37,Female,75,5,6,5,NA,4
17,38,Male,100,7,6,4,5,5
18,28,Female,62,4,4,4,4,5
19,61,Male,74,3,5,2,3,3
20,46,Female,75,3,3,5,4,3
21,20,Male,74,5,5,4,4,4
22,52,Male,63,4,3,4,3,3
23,37,Female,66,5,5,6,5,6
24,54,Non-binary,92,4,4,3,4,5
25,47,Male,68,5,4,4,3,4
26,30,Male,53,NA,4,3,5,4
27,60,Male,73,5,4,3,4,4
28,37,Prefer not to say,59,NA,3,2,3,2
29,58,Non-binary,62,4,3,2,4,4
30,20,Male,71,5,6,5,3,4
31,22,Male,84,5,7,3,5,5
32,42,Male,79,6,6,7,6,5
33,52,Female,73,3,4,4,3,3
34,58,Male,96,7,NA,7,5,6
35,42,Male,47,3,4,4,4,4
36,61,Male,85,6,7,5,5,5
37,43,Male,57,3,NA,3,2,2
38,46,Female,75,2,4,4,2,2
39,72,Female,71,5,5,5,5,4
40,52,Male,51,5,4,4,4,3
41,41,Female,58,4,3,3,1,2
42,42,Male,60,1,3,NA,3,3
43,43,Female,56,2,3,2,3,2
44,45,Male,73,3,5,3,3,4
45,48,Male,76,4,4,4,4,4
46,19,Female,62,4,4,4,3,2
47,38,Male,61,4,4,3,3,2
48,24,Male,86,5,5,4,6,NA
49,40,Female,NA,3,2,3,2,NA
50,48,Male,88,7,7,7,6,5
