psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Male,81,5,6,5,5,4
2,37,Female,84,3,4,4,4,3
3,55,Male,62,2,3,3,2,1
4,45,Male,70,3,4,3,5,2
5,28,Male,85,3,4,3,5,4
6,33,Male,100,5,7,5,6,4
7,20,Female,49,2,2,2,NA,1
8,33,Male,67,4,2,5,4,3
9,67,Male,71,2,3,NA,3,3
10,47,Male,57,3,4,4,3,4
11,64,Male,92,5,6,4,NA,6
12,40,Non-binary,63,1,2,2,1,2
13,40,Male,95,6,4,3,5,NA
14,47,Male,63,5,6,4,5,NA
15,26,Female,58,NA,2,3,3,3
16,38,Male,49,3,4,3,3,1
17,60,Male,100,7,7,7,7,6
18,33,Female,56,3,4,3,4,5
19,56,Female,57,3,2,3,2,3
20,26,Male,56,1,4,3,5,2
21,36,Male,57,5,2,4,3,4
22,29,Female,74,1,NA,3,3,3
23,38,Male,NA,5,4,4,5,5
24,42,Male,70,4,5,5,5,4
25,35,Female,72,3,3,3,3,4
26,52,Female,61,3,NA,4,5,4
27,60,Male,65,5,5,4,4,4
28,66,Female,83,6,6,5,6,6
29,31,Female,81,3,6,5,2,5
30,22,Female,88,3,4,4,6,3
31,32,Female,79,5,5,4,5,6
32,61,Male,71,3,3,4,4,4
33,72,Male,73,4,4,4,4,5
34,66,Male,66,1,1,NA,1,2
35,55,Male,80,5,5,7,6,6
36,23,Male,88,5,5,4,5,3
37,45,Male,NA,6,5,4,5,6
38,59,Male,62,3,3,2,2,2
39,24,Male,79,4,2,3,3,2
40,65,Female,64,3,5,3,6,5
41,52,Male,74,6,5,4,5,4
42,24,Female,77,5,7,6,5,5
43,31,Male,61,2,2,5,3,4
44,23,Male,74,4,4,7,6,5
45,49,Male,77,5,5,5,3,4
46,46,Female,85,NA,3,6,4,4
47,42,Male,78,6,5,4,3,4
48,55,Male,67,3,3,3,3,1
49,70,Male,86,5,5,4,5,4
50,42,Female,78,4,5,2,5,4
