psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,48,Female,84,NA,4,5,4,3
2,44,Male,53,4,3,4,3,3
3,51,Female,54,3,2,1,3,NA
4,54,Female,80,5,6,6,5,6
5,37,Male,87,5,6,4,4,6
6,72,Male,75,6,6,4,5,6
7,21,Female,45,3,5,3,3,3
8,81,Female,50,4,4,2,1,NA
9,51,Female,69,2,3,3,3,5
10,32,Non-binary,67,5,4,5,4,5
11,33,Female,52,5,3,1,3,2
12,51,Female,54,2,4,4,5,3
13,21,Female,87,4,7,6,5,5
14,38,Male,51,3,4,5,4,4
15,30,Male,71,4,3,4,NA,4
16,39,Non-binary,46,2,1,3,1,4
17,58,Non-binary,65,4,NA,5,4,4
18,48,Female,60,4,3,4,4,3
19,40,Male,65,3,3,3,4,3
20,40,Female,79,6,4,3,4,4
21,54,Male,81,4,3,5,4,4
22,41,Male,74,4,4,4,5,4
23,28,Female,65,6,3,5,6,4
24,33,Female,68,5,5,3,3,3
25,62,Female,66,3,2,4,3,4
26,56,Female,77,4,6,6,5,6
27,63,Female,72,3,3,4,3,3
28,26,Female,69,5,3,4,5,4
29,39,Female,63,4,2,NA,2,3
30,33,Female,71,3,3,5,5,4
31,55,Male,69,2,3,2,2,1
32,81,Non-binary,68,2,3,4,4,3
33,49,Male,72,3,5,4,5,5
34,39,Male,100,5,5,7,6,6
35,66,Female,60,2,NA,3,4,3
36,32,Male,83,5,5,5,3,5
37,52,Male,61,3,3,1,3,2
38,18,Female,72,3,4,3,2,3
39,47,Female,NA,2,3,1,1,1
40,23,Female,81,5,4,5,6,5
41,55,Female,88,6,5,5,NA,5
42,46,Female,70,4,4,3,1,3
43,40,Female,73,4,5,6,6,5
44,40,Male,69,3,4,3,3,6
45,71,Female,75,3,3,3,4,4
46,38,Male,57,1,1,4,3,2
47,48,Female,68,4,3,NA,4,5
48,45,Male,NA,NA,4,3,4,4
49,59,Female,81,4,5,5,5,5
50,26,Male,100,3,3,5,3,3
