psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,38,Female,58,4,5,4,4,4
2,43,Male,85,5,5,NA,5,5
3,43,Female,63,3,3,4,4,2
4,45,Male,65,5,4,5,6,5
5,46,Female,53,3,5,4,3,2
6,36,Male,73,5,4,5,5,4
7,43,Male,67,4,5,7,5,5
8,48,Male,72,4,4,3,4,5
9,69,Female,81,3,4,4,5,4
10,54,Male,76,4,4,5,6,4
11,45,Female,79,4,3,5,3,3
12,35,Female,79,2,4,3,3,4
13,23,Male,60,4,4,4,4,4
14,39,Male,88,7,5,6,7,6
15,21,Male,55,1,1,NA,1,1
16,53,Male,72,NA,3,3,3,NA
17,40,Female,62,4,4,6,6,3
18,38,Male,67,3,4,3,4,4
19,61,Female,64,2,3,4,4,4
20,36,Prefer not to say,78,6,4,6,6,6
21,33,Female,NA,3,4,5,5,3
22,49,Male,75,7,6,6,6,NA
23,49,Non-binary,97,5,5,6,6,5
24,44,Female,65,2,2,1,4,2
25,31,Female,63,4,5,5,4,4
26,45,Female,52,4,NA,4,4,4
27,37,Female,55,3,4,3,3,3
28,51,Female,83,3,4,5,4,4
29,22,Female,60,3,NA,2,4,3
30,39,Male,68,4,3,5,NA,3
31,49,Female,51,4,3,4,3,3
32,18,Female,62,1,2,3,4,1
33,54,Female,72,6,4,4,5,4
34,37,Female,54,3,1,3,2,5
35,61,Male,57,4,6,5,2,4
36,30,Female,70,NA,5,4,3,6
37,33,Male,68,4,3,3,3,4
38,22,Female,64,4,4,3,3,4
39,23,Male,64,1,2,2,2,3
40,31,Female,85,3,5,3,5,4
41,45,Male,67,4,3,3,4,4
42,32,Female,52,3,2,3,3,4
43,31,Male,70,4,6,5,5,5
44,43,Male,83,4,4,5,4,5
45,45,Female,73,6,5,5,5,6
46,22,Female,89,5,5,5,NA,4
47,41,Female,85,4,2,3,5,3
48,42,Female,NA,5,7,5,5,4
49,46,Male,86,6,5,4,4,5
50,25,Male,92,4,6,5,6,4
