psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,47,Male,71,4,4,5,5,6
2,43,Female,65,NA,NA,3,4,4
3,18,Male,40,2,3,2,2,3
4,26,Female,87,5,5,NA,5,4
5,78,Female,68,3,3,2,4,4
6,41,Female,80,2,2,3,1,2
7,28,Male,64,4,3,4,NA,2
8,48,Female,96,5,5,6,6,4
9,62,Female,41,1,2,2,1,NA
10,31,Non-binary,55,3,5,5,3,4
11,47,Female,91,6,5,6,NA,6
12,28,Female,74,5,5,4,5,4
13,48,Male,43,4,3,2,4,4
14,39,Male,88,4,6,6,5,5
15,39,Female,56,4,3,4,5,NA
16,32,Male,67,4,4,4,6,4
17,31,Female,NA,6,5,5,4,4
18,40,Female,93,4,4,5,5,4
19,30,Female,76,3,4,4,3,4
20,20,Female,44,5,2,4,4,4
21,31,Female,51,4,4,5,4,4
22,45,Female,63,5,5,5,4,6
23,42,Male,92,4,4,4,3,5
24,19,Male,52,NA,3,4,2,3
25,60,Female,80,4,3,4,3,5
26,27,Male,68,4,4,3,3,3
27,20,Prefer not to say,79,4,4,4,5,4
28,59,Prefer not to say,86,6,4,6,5,6
29,70,Male,72,4,3,5,4,3
30,40,Female,96,6,6,5,5,6
31,47,Prefer not to say,85,5,4,5,4,5
32,50,Male,85,4,3,5,3,3
33,63,Female,57,3,3,3,2,3
34,57,Female,73,4,4,5,5,5
35,27,Female,60,4,3,4,3,2
36,57,Female,77,3,3,2,4,2
37,70,Female,83,4,4,3,4,3
38,31,Female,99,5,4,6,6,5
39,35,Female,84,5,5,4,4,5
40,18,Male,93,4,NA,4,5,4
41,25,Male,68,4,5,3,4,5
42,32,Male,69,4,3,3,5,5
43,50,Male,79,3,6,5,3,5
44,44,Male,46,2,3,3,1,3
45,69,Female,64,4,2,3,4,4
46,33,Non-binary,82,5,7,5,4,6
47,46,Prefer not to say,42,2,5,3,4,2
48,42,Female,60,4,4,2,5,3
49,60,Male,NA,4,3,5,5,5
50,63,Male,69,6,5,NA,4,6
