psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,46,Prefer not to say,87,4,5,4,4,5
2,65,Female,NA,NA,5,7,6,5
3,40,Male,63,1,5,4,2,2
4,33,Female,77,3,3,3,4,4
5,59,Female,83,3,5,4,6,6
6,39,Male,82,5,4,4,4,4
7,36,Male,86,5,5,4,4,NA
8,64,Female,73,3,2,3,3,3
9,43,Female,88,5,7,6,5,5
10,27,Male,76,3,3,3,NA,2
11,43,Male,56,3,4,3,4,4
12,70,Prefer not to say,76,7,6,6,5,5
13,50,Male,82,3,3,3,4,6
14,30,Prefer not to say,69,4,4,4,4,4
15,20,Male,72,4,5,5,4,4
16,35,Female,47,3,4,2,2,2
17,60,Prefer not to say,68,3,3,3,3,2
18,20,Female,92,5,NA,NA,5,5
19,25,Female,57,2,2,4,2,2
20,40,Prefer not to say,39,4,4,NA,4,4
21,39,Female,46,4,1,2,3,3
22,21,Male,48,5,3,4,5,3
23,50,Female,69,5,5,4,3,5
24,92,Female,84,5,3,6,4,3
25,46,Female,83,4,NA,4,6,6
26,48,Female,64,2,4,4,4,2
27,59,Female,90,5,6,5,5,7
28,56,Female,88,NA,4,4,5,5
29,42,Male,76,5,5,2,3,5
30,86,Male,83,6,6,5,7,5
31,22,Female,76,5,4,3,3,5
32,32,Female,NA,3,3,5,4,5
33,48,Male,67,4,3,3,NA,4
34,41,Female,92,6,6,6,4,7
35,21,Female,71,4,5,4,3,5
36,43,Female,71,4,4,3,4,3
37,20,Male,61,5,3,3,4,4
38,25,Non-binary,78,6,5,6,4,5
39,40,Female,67,3,1,1,3,3
40,32,Male,74,3,4,6,5,5
41,44,Female,93,3,5,4,5,6
42,39,Female,51,4,4,4,4,4
43,19,Female,52,3,3,3,3,3
44,42,Male,77,5,5,4,5,4
45,21,Female,84,5,5,7,7,6
46,21,Male,48,2,1,1,1,3
47,53,Female,72,4,4,4,4,3
48,48,Female,73,3,5,6,4,5
49,64,Male,70,5,4,5,6,NA
50,35,Male,73,5,4,6,5,4
