psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,20,Female,32,2,1,3,3,2
2,19,Male,61,3,3,4,4,5
3,57,Prefer not to say,82,5,4,5,4,4
4,27,Female,83,NA,4,4,4,2
5,41,Male,90,6,6,5,6,5
6,41,Female,86,NA,6,6,5,5
7,23,Male,NA,6,4,5,5,3
8,41,Female,50,1,2,4,2,3
9,55,Female,77,3,3,5,3,4
10,28,Prefer not to say,66,3,4,4,4,4
11,18,Female,45,3,NA,4,4,4
12,66,Female,83,3,NA,4,5,4
13,33,Prefer not to say,77,3,4,3,4,3
14,42,Female,NA,5,5,6,6,5
15,60,Female,73,5,4,4,4,5
16,49,Female,79,3,3,4,5,4
17,45,Male,85,5,2,4,3,4
18,52,Female,61,6,5,5,5,5
19,95,Female,68,5,4,5,NA,4
20,34,Non-binary,69,5,4,4,5,4
21,19,Male,91,4,4,4,4,4
22,47,Male,74,4,5,4,4,3
23,25,Male,68,4,5,4,4,5
24,20,Male,65,4,4,4,6,4
25,48,Male,92,6,5,NA,5,6
26,30,Female,85,6,5,5,6,5
27,28,Male,92,5,5,4,5,5
28,61,Female,47,1,2,3,2,2
29,60,Male,61,3,5,4,6,3
30,22,Male,58,3,3,2,3,4
31,40,Female,75,4,5,NA,4,4
32,44,Female,77,4,3,3,5,5
33,21,Non-binary,88,5,4,6,5,3
34,39,Female,98,6,5,7,6,5
35,40,Male,87,4,3,5,3,6
36,26,Male,59,1,3,1,2,2
37,79,Female,82,5,4,4,3,5
38,28,Male,73,5,6,4,7,NA
39,62,Female,34,1,2,2,1,2
40,24,Male,81,3,4,3,4,NA
41,77,Male,75,3,3,4,4,4
42,47,Female,77,3,3,4,3,3
43,63,Male,69,6,5,4,NA,5
44,50,Male,67,3,3,1,3,3
45,32,Female,61,3,3,4,4,3
46,38,Female,79,3,1,4,4,3
47,63,Male,47,3,4,4,2,2
48,38,Female,90,6,6,5,6,6
49,27,Prefer not to say,62,3,5,3,5,3
50,35,Female,76,2,4,5,4,4
