psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,33,Female,75,4,5,5,5,6
2,29,Male,85,5,5,6,6,6
3,20,Female,76,3,5,4,3,4
4,32,Non-binary,99,5,4,6,6,5
5,25,Male,95,4,5,4,6,5
6,28,Female,NA,4,NA,4,7,5
7,47,Non-binary,52,4,5,3,2,3
8,21,Male,76,5,5,5,3,4
9,47,Female,76,6,7,4,4,4
10,25,Prefer not to say,66,4,3,2,4,5
11,42,Female,62,4,2,2,4,2
12,19,Male,54,2,4,3,4,2
13,44,Male,87,NA,5,5,5,5
14,24,Prefer not to say,85,5,5,5,5,4
15,43,Female,78,4,5,5,5,3
16,58,Male,50,2,1,1,2,2
17,37,Non-binary,66,2,4,4,4,3
18,37,Female,86,6,6,5,5,5
19,36,Prefer not to say,72,4,3,NA,4,5
20,39,Male,77,4,5,4,NA,5
21,23,Female,75,4,5,5,7,4
22,34,Female,68,3,4,2,4,1
23,48,Male,60,2,3,3,3,3
24,48,Male,80,4,6,3,5,5
25,52,Female,91,6,5,6,4,5
26,33,Female,70,4,4,4,4,4
27,35,Male,NA,1,NA,4,4,3
28,57,Male,49,3,4,NA,4,4
29,39,Female,79,4,4,4,5,4
30,18,Male,59,4,2,3,3,NA
31,41,Female,52,2,2,3,3,1
32,36,Prefer not to say,58,4,1,1,4,4
33,35,Prefer not to say,64,7,3,5,4,4
34,28,Male,55,3,4,1,3,3
35,60,Female,74,5,4,5,5,5
36,24,Male,74,5,3,4,4,6
37,46,Male,71,3,5,5,4,4
38,42,Female,79,5,4,5,4,3
39,48,Prefer not to say,64,4,3,4,1,4
40,31,Female,67,6,5,5,4,4
41,44,Female,55,3,4,3,NA,1
42,43,Prefer not to say,41,2,1,4,1,3
43,18,Male,87,4,5,5,6,4
44,74,Male,77,6,5,7,5,7
45,67,Female,53,1,1,3,3,2
46,47,Male,45,3,3,2,2,2
47,68,Female,85,NA,5,7,6,5
48,46,Prefer not to say,68,3,4,2,2,3
49,28,Male,68,6,5,6,6,6
50,49,Male,70,5,3,5,5,NA
