psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,52,Male,84,4,4,4,6,NA
2,46,Male,56,5,4,5,4,5
3,51,Prefer not to say,85,4,4,4,5,3
4,59,Female,64,4,4,5,3,6
5,19,Male,88,6,5,6,6,5
6,63,Female,49,6,5,5,NA,3
7,54,Female,45,1,NA,1,2,1
8,73,Female,84,5,4,5,6,6
9,22,Female,60,3,4,3,2,2
10,56,Female,NA,4,3,4,3,3
11,29,Non-binary,100,6,6,5,7,5
12,25,Female,48,4,3,3,3,4
13,72,Male,88,5,4,4,4,6
14,44,Male,87,5,4,4,3,5
15,45,Non-binary,65,NA,4,3,3,NA
16,35,Non-binary,72,4,5,5,4,4
17,47,Male,94,5,6,6,NA,6
18,56,Male,74,NA,4,4,5,3
19,32,Female,70,4,4,4,6,5
20,34,Prefer not to say,59,4,4,NA,6,5
21,29,Prefer not to say,73,5,5,4,4,4
22,34,Female,83,3,4,4,5,5
23,66,Male,59,4,5,2,6,6
24,51,Female,64,4,4,NA,5,5
25,32,Female,76,7,6,6,5,6
26,41,Female,72,4,5,5,4,5
27,71,Female,75,4,3,3,4,6
28,64,Female,NA,5,3,4,5,6
29,50,Female,72,3,4,3,4,5
30,20,Female,69,5,3,4,3,5
31,30,Non-binary,83,7,5,7,5,7
32,32,Male,68,4,4,4,4,3
33,42,Prefer not to say,87,6,5,4,5,5
34,33,Prefer not to say,94,5,4,6,4,4
35,28,Female,77,7,6,4,5,4
36,30,Male,82,5,4,5,4,5
37,45,Non-binary,50,2,3,4,4,3
38,65,Prefer not to say,59,6,2,3,5,4
39,28,Male,79,6,5,5,4,4
40,53,Female,58,4,1,2,2,1
41,43,Male,70,4,3,2,4,5
42,86,Male,75,3,4,3,6,3
43,42,Male,53,2,1,2,2,2
44,52,Male,56,3,NA,3,3,3
45,46,Male,68,2,2,2,2,2
46,65,Female,87,7,5,6,5,6
47,29,Male,77,4,3,5,5,5
48,74,Male,42,2,3,1,2,3
49,39,Male,82,4,4,5,6,5
50,53,Female,53,4,2,3,4,4
