psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,29,Prefer not to say,69,4,4,3,6,4
2,70,Male,49,3,3,4,2,NA
3,53,Female,87,4,4,6,4,5
4,35,Female,75,4,5,3,3,3
5,47,Female,73,3,3,4,4,4
6,34,Female,85,5,6,5,5,4
7,49,Female,51,4,4,5,6,4
8,32,Female,67,5,4,4,4,5
9,55,Female,81,5,5,5,4,6
10,47,Non-binary,79,5,6,6,3,5
11,63,Male,88,6,3,5,6,5
12,22,Non-binary,89,7,7,6,5,7
13,65,Male,92,5,4,5,5,4
14,64,Female,80,3,2,4,3,3
15,42,Male,78,5,4,NA,4,3
16,43,Female,64,4,2,4,4,4
17,61,Male,73,5,6,5,5,6
18,25,Female,59,3,3,2,2,3
19,41,Female,78,6,5,4,NA,4
20,40,Male,NA,4,2,3,3,4
21,45,Male,76,5,5,3,4,3
22,66,Male,53,3,NA,3,3,4
23,36,Male,56,2,2,2,2,1
24,20,Male,NA,1,2,1,1,2
25,53,Female,78,3,4,3,2,4
26,35,Male,75,4,3,1,3,5
27,40,Male,82,4,3,5,4,5
28,40,Male,88,6,3,6,5,4
29,54,Male,72,5,5,4,4,3
30,68,Female,62,4,3,4,5,5
31,25,Female,89,NA,4,4,5,4
32,40,Female,66,5,5,5,4,6
33,50,Male,78,4,NA,6,5,5
34,32,Male,74,3,3,4,5,3
35,58,Prefer not to say,74,5,4,5,4,5
36,20,Female,66,2,2,2,4,3
37,47,Female,92,5,7,6,5,4
38,26,Female,79,4,4,6,5,4
39,48,Male,68,5,4,NA,6,5
40,63,Female,59,3,1,4,2,3
41,65,Female,97,7,5,6,7,NA
42,35,Male,78,4,4,4,NA,3
43,39,Female,80,5,4,4,3,4
44,33,Female,70,6,5,6,4,5
45,46,Male,59,2,3,4,4,5
46,25,Male,69,4,5,4,5,6
47,43,Male,64,NA,3,3,6,4
48,56,Female,67,5,2,5,4,3
49,26,Male,59,2,3,4,3,3
50,48,Male,97,6,6,6,7,6
