psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,75,Male,61,1,2,1,2,3
2,23,Male,79,3,4,4,5,5
3,40,Male,72,3,5,5,5,4
4,50,Male,51,3,4,3,3,2
5,28,Non-binary,81,5,5,5,5,4
6,47,Non-binary,81,4,5,4,5,6
7,33,Female,74,5,5,6,5,4
8,65,Female,51,3,1,2,3,2
9,19,Non-binary,84,4,5,6,4,5
10,47,Prefer not to say,79,3,4,5,3,5
11,22,Female,76,4,5,4,4,NA
12,46,Non-binary,86,6,4,5,6,5
13,30,Female,67,6,5,6,5,7
14,19,Male,61,5,4,4,4,3
15,21,Male,72,6,3,4,5,3
16,26,Male,68,2,3,2,3,3
17,24,Male,79,5,NA,5,3,3
18,47,Male,70,5,5,5,NA,5
19,36,Male,73,3,4,4,2,3
20,53,Male,48,2,2,3,2,1
21,33,Female,100,6,6,6,7,4
22,34,Female,66,2,2,3,2,4
23,19,Prefer not to say,66,NA,3,3,3,4
24,49,Male,62,5,3,2,3,3
25,20,Male,48,1,3,2,1,2
26,55,Female,86,2,4,3,4,3
27,50,Male,NA,4,4,5,5,5
28,44,Male,57,4,4,2,4,3
29,44,Male,83,4,5,4,6,5
30,53,Female,71,2,1,NA,1,1
31,33,Male,52,3,2,3,3,2
32,22,Male,78,NA,4,5,5,3
33,30,Prefer not to say,93,5,6,5,5,7
34,45,Female,73,3,3,2,3,4
35,48,Prefer not to say,100,7,6,7,4,7
36,31,Female,69,3,NA,4,4,NA
37,51,Female,62,1,1,1,NA,2
38,34,Male,65,3,3,NA,4,3
39,55,Female,86,4,5,4,5,5
40,38,Male,69,4,5,4,4,3
41,34,Female,81,3,4,5,4,5
42,62,Male,NA,6,5,5,4,4
43,52,Female,58,2,3,6,5,5
44,51,Male,61,3,3,3,2,2
45,59,Male,65,3,4,3,1,3
46,40,Female,65,5,5,2,4,6
47,28,Male,66,5,3,5,4,4
48,59,Male,76,6,5,6,6,6
49,42,Female,82,4,6,4,6,6
50,28,Male,71,4,3,4,3,4
