psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,38,Prefer not to say,85,6,5,4,5,5
2,52,Female,64,5,3,4,5,6
3,24,Male,89,5,NA,4,7,3
4,45,Male,69,4,5,3,5,4
5,33,Female,61,4,4,4,5,3
6,56,Male,57,2,2,4,4,2
7,25,Male,85,6,5,7,5,5
8,48,Female,75,4,4,4,5,3
9,35,Male,75,5,4,5,3,2
10,58,Male,98,5,5,6,5,6
11,62,Male,84,5,6,4,5,4
12,48,Male,69,4,3,NA,4,5
13,34,Female,73,3,NA,3,NA,2
14,46,Female,74,NA,5,5,4,5
15,56,Female,55,2,3,2,1,2
16,43,Male,NA,5,6,5,5,7
17,45,Male,79,3,4,5,3,NA
18,43,Male,48,1,2,2,3,1
19,19,Prefer not to say,81,5,5,4,4,NA
20,41,Male,82,6,6,NA,6,3
21,31,Female,97,4,5,6,6,6
22,31,Prefer not to say,83,7,4,6,5,6
23,61,Female,91,4,5,7,5,5
24,23,Female,60,3,3,2,3,3
25,79,Male,91,6,6,4,5,3
26,36,Prefer not to say,83,3,3,4,4,4
27,50,Non-binary,51,1,2,2,2,2
28,40,Male,86,6,6,4,NA,5
29,57,Female,63,4,4,4,4,4
30,29,Non-binary,70,4,5,5,3,3
31,54,Female,68,3,2,2,3,3
32,65,Prefer not to say,75,4,4,5,5,4
33,42,Male,60,3,3,2,3,2
34,44,Female,67,2,2,1,3,3
35,48,Female,74,5,5,4,5,6
36,28,Non-binary,72,5,4,3,3,2
37,38,Female,66,NA,4,4,4,4
38,40,Female,81,4,4,4,3,4
39,68,Male,71,3,4,3,4,3
40,43,Male,89,5,5,4,5,5
41,37,Female,NA,4,4,4,5,5
42,61,Female,78,3,5,5,4,5
43,56,Female,57,3,3,3,3,3
44,20,Male,84,5,4,4,4,3
45,54,Female,82,4,3,5,4,4
46,50,Male,94,6,5,5,4,6
47,70,Prefer not to say,82,4,4,6,5,5
48,20,Male,52,1,1,1,2,1
49,63,Male,63,5,4,3,4,5
50,48,Non-binary,70,5,5,5,4,5
