psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,18,Female,72,4,5,NA,3,4
2,44,Female,65,4,4,5,5,5
3,25,Female,85,3,3,5,4,6
4,25,Male,67,4,5,2,4,3
5,29,Female,84,5,4,4,5,5
6,38,Female,NA,2,5,3,3,4
7,73,Female,63,4,5,4,5,4
8,47,Female,81,6,4,5,6,6
9,18,Female,71,5,4,5,4,4
10,33,Female,94,5,5,5,5,5
11,47,Female,79,4,5,NA,4,4
12,23,Male,76,2,4,3,1,3
13,71,Male,74,4,6,6,5,NA
14,28,Male,49,3,3,3,2,5
15,48,Female,69,4,5,4,5,4
16,36,Female,70,6,4,4,5,4
17,43,Female,81,3,3,4,3,3
18,18,Female,67,5,4,6,5,6
19,41,Female,61,2,2,1,4,2
20,68,Female,65,4,2,3,2,3
21,60,Female,84,4,5,5,4,5
22,36,Female,74,4,5,4,3,3
23,25,Male,64,3,3,4,4,3
24,53,Male,58,4,5,4,4,NA
25,55,Male,46,3,2,2,2,2
26,52,Male,71,4,NA,5,4,4
27,21,Male,88,5,5,5,6,6
28,44,Female,62,NA,3,2,3,2
29,39,Non-binary,NA,4,4,4,3,2
30,39,Female,54,3,1,3,2,2
31,52,Prefer not to say,56,1,1,1,1,1
32,51,Male,59,2,2,2,3,2
33,45,Male,73,5,4,5,4,5
34,37,Non-binary,61,3,4,4,2,3
35,33,Female,72,1,2,3,3,3
36,47,Female,82,4,3,5,5,4
37,21,Male,46,3,NA,3,1,4
38,19,Female,64,3,3,2,4,4
39,40,Female,80,NA,3,4,6,3
40,57,Male,67,4,3,4,5,4
41,54,Female,79,3,5,6,6,6
42,35,Non-binary,60,4,4,3,NA,3
43,64,Female,54,6,7,6,6,6
44,44,Male,84,6,5,6,5,5
45,52,Male,81,5,6,5,6,6
46,20,Female,55,4,4,3,NA,5
47,48,Male,83,5,3,2,2,2
48,70,Male,45,2,2,3,2,3
49,40,Male,79,5,4,3,4,4
50,45,Female,84,3,4,4,2,4
