psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,60,Male,89,3,5,5,5,7
2,61,Female,100,4,4,2,4,4
3,24,Prefer not to say,82,4,4,4,4,3
4,56,Non-binary,65,4,5,5,5,2
5,56,Female,NA,2,4,4,3,4
6,33,Male,82,3,4,4,3,5
7,38,Male,87,4,5,4,5,6
8,55,Male,81,3,5,4,5,3
9,52,Male,78,6,NA,5,6,4
10,50,Female,65,5,4,4,5,4
11,41,Male,75,4,5,4,6,6
12,33,Prefer not to say,72,6,5,5,5,4
13,31,Female,59,5,4,5,4,4
14,53,Male,79,5,5,5,5,4
15,56,Male,87,5,4,6,5,4
16,46,Male,57,4,3,2,3,NA
17,57,Female,90,5,6,5,5,5
18,33,Male,82,5,5,4,3,2
19,52,Male,70,6,3,NA,4,5
20,38,Female,87,NA,5,5,5,6
21,53,Female,84,6,4,5,6,6
22,36,Male,87,5,5,NA,6,6
23,65,Prefer not to say,71,4,3,3,4,4
24,31,Female,47,5,3,2,2,5
25,40,Male,75,NA,3,4,6,3
26,65,Female,68,5,NA,4,5,4
27,38,Female,91,4,3,4,5,NA
28,68,Female,85,6,5,4,4,4
29,55,Female,74,3,1,2,3,3
30,40,Female,76,4,4,4,4,4
31,24,Female,67,4,4,4,3,5
32,40,Female,81,4,4,5,5,3
33,56,Female,88,5,5,3,2,4
34,35,Non-binary,66,5,5,3,4,4
35,33,Female,87,6,6,5,5,7
36,48,Non-binary,63,3,4,2,3,4
37,21,Female,NA,1,2,4,2,1
38,33,Female,53,2,3,2,2,4
39,39,Female,75,4,4,4,NA,4
40,38,Female,80,5,4,5,5,4
41,47,Male,69,3,4,3,NA,4
42,55,Female,82,5,4,6,6,7
43,43,Female,100,4,4,5,3,4
44,35,Female,73,2,2,1,2,2
45,47,Female,64,6,4,4,5,4
46,36,Non-binary,54,6,6,6,4,5
47,52,Male,83,4,4,4,3,4
48,24,Non-binary,68,3,4,3,5,6
49,27,Female,54,4,4,4,3,4
50,53,Male,76,4,4,3,4,3
