psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,47,Female,76,5,6,7,6,6
2,31,Male,67,5,4,3,3,5
3,28,Male,74,6,5,6,7,6
4,25,Female,42,3,3,4,2,3
5,41,Male,65,4,3,5,4,3
6,33,Female,96,5,7,7,5,5
7,53,Male,68,2,5,4,3,3
8,31,Female,81,5,4,4,4,6
9,29,Male,81,6,3,3,4,5
10,47,Male,60,5,3,2,2,1
11,33,Male,87,4,4,5,5,5
12,42,Male,88,5,6,6,6,5
13,32,Male,64,2,2,2,2,3
14,36,Male,58,2,NA,4,2,3
15,63,Male,50,3,4,3,2,1
16,37,Non-binary,87,5,5,7,6,4
17,32,Male,70,4,3,4,3,4
18,50,Prefer not to say,70,5,4,4,2,4
19,59,Male,90,5,5,5,5,5
20,34,Female,59,4,4,3,3,4
21,36,Female,42,NA,3,4,4,2
22,64,Male,67,5,5,6,2,4
23,46,Female,71,NA,4,NA,4,2
24,21,Male,70,2,NA,2,4,2
25,44,Prefer not to say,74,5,5,5,4,5
26,60,Male,88,4,4,4,5,NA
27,46,Female,75,4,4,4,3,3
28,38,Male,58,5,6,5,4,6
29,58,Male,45,3,3,3,3,3
30,35,Male,68,4,4,3,4,4
31,40,Female,62,3,3,3,4,2
32,41,Prefer not to say,100,4,3,6,6,NA
33,56,Prefer not to say,67,4,4,4,4,5
34,67,Male,58,3,5,4,4,3
35,35,Male,78,3,4,5,5,5
36,47,Male,59,3,3,3,NA,2
37,47,Male,NA,4,3,4,NA,4
38,62,Female,90,6,4,5,4,6
39,26,Male,75,4,5,5,4,3
40,34,Male,77,4,4,4,3,5
41,49,Female,93,7,7,7,6,5
42,47,Female,NA,4,4,4,5,3
43,21,Female,49,2,3,2,2,5
44,41,Male,66,5,4,5,3,3
45,41,Female,95,3,4,4,3,3
46,47,Male,82,5,5,NA,7,7
47,28,Male,81,4,4,6,4,4
48,25,Male,100,6,7,7,7,6
49,54,Female,65,4,2,3,3,3
50,36,Female,79,4,5,4,5,4
