psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,42,Female,83,5,5,5,5,6
2,46,Male,70,4,4,3,4,3
3,69,Female,71,NA,3,3,4,1
4,42,Female,55,NA,2,1,3,3
5,35,Female,82,5,5,4,4,5
6,49,Male,NA,6,4,6,4,5
7,80,Male,60,5,6,5,4,5
8,36,Female,93,6,5,6,5,5
9,21,Male,83,5,5,4,4,5
10,46,Male,62,3,4,2,1,4
11,57,Male,84,5,5,4,5,5
12,25,Male,78,5,3,4,5,6
13,40,Male,91,4,6,NA,6,3
14,42,Prefer not to say,78,6,5,5,5,4
15,53,Male,60,3,5,4,3,3
16,48,Male,83,5,3,4,4,6
17,59,Female,91,4,4,5,4,3
18,40,Prefer not to say,83,5,NA,4,4,5
19,65,Female,83,5,4,5,4,NA
20,43,Female,80,5,5,4,4,5
21,38,Female,59,3,3,3,4,NA
22,43,Non-binary,73,3,4,3,4,4
23,35,Female,81,4,5,4,5,3
24,18,Male,83,5,4,6,5,6
25,28,Female,69,3,3,3,3,4
26,49,Female,74,3,3,3,NA,3
27,45,Female,76,4,4,4,3,3
28,54,Male,64,3,4,4,4,5
29,32,Male,85,5,5,5,4,5
30,21,Female,73,4,4,3,2,5
31,50,Male,82,3,5,3,3,3
32,20,Male,NA,4,5,6,5,6
33,55,Female,62,3,4,NA,5,1
34,45,Female,71,3,4,5,4,4
35,59,Male,85,4,6,3,4,6
36,23,Male,68,6,5,5,6,6
37,52,Female,68,4,5,4,6,4
38,41,Male,61,3,4,3,1,3
39,37,Female,66,4,4,4,4,2
40,27,Female,69,4,4,4,4,4
41,44,Female,70,5,6,4,NA,4
42,28,Female,53,2,1,2,2,3
43,19,Prefer not to say,100,5,6,5,7,6
44,63,Male,94,7,6,7,6,7
45,24,Prefer not to say,63,2,NA,5,4,4
46,48,Female,83,4,5,4,4,4
47,56,Male,71,4,4,4,2,4
48,60,Male,78,4,4,3,4,3
49,20,Female,84,7,5,5,6,6
50,26,Female,63,4,3,4,4,4
