psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,39,Prefer not to say,57,3,4,2,2,3
2,58,Male,61,4,4,4,3,3
3,48,Female,77,5,6,5,6,5
4,32,Female,52,4,4,2,3,2
5,50,Male,59,5,4,4,5,4
6,53,Male,86,5,4,4,6,4
7,57,Female,79,4,5,4,3,5
8,39,Male,80,6,4,4,4,3
9,30,Female,82,5,5,4,3,5
10,21,Female,67,3,5,2,2,3
11,30,Female,56,1,2,2,2,3
12,43,Female,82,NA,5,5,5,5
13,67,Female,78,6,6,7,6,5
14,42,Female,64,NA,5,4,4,3
15,24,Female,77,6,5,6,6,NA
16,52,Prefer not to say,76,4,4,4,3,4
17,31,Non-binary,86,5,4,5,NA,5
18,44,Non-binary,76,5,4,3,3,3
19,43,Male,98,7,6,6,6,5
20,38,Prefer not to say,79,3,4,5,4,6
21,20,Male,67,3,4,4,3,4
22,52,Female,43,3,3,3,3,2
23,18,Female,82,3,3,3,2,4
24,32,Male,68,4,6,4,NA,4
25,53,Female,NA,2,1,2,3,2
26,46,Female,62,3,3,3,4,4
27,55,Female,80,5,5,4,5,5
28,33,Male,57,2,3,3,4,3
29,67,Female,88,5,5,6,5,5
30,55,Female,81,4,4,5,5,3
31,53,Female,78,5,5,5,4,5
32,72,Female,44,3,1,NA,2,2
33,38,Female,68,3,3,5,5,4
34,53,Male,56,4,4,2,4,4
35,31,Male,95,5,5,5,5,5
36,63,Female,78,5,3,5,6,NA
37,46,Female,80,7,6,6,5,6
38,47,Male,85,5,6,4,5,4
39,47,Male,76,4,5,5,4,5
40,53,Prefer not to say,71,4,NA,5,5,5
41,54,Female,100,5,5,5,5,4
42,47,Female,86,5,5,5,4,5
43,55,Female,66,6,6,6,5,5
44,36,Female,67,3,2,3,4,3
45,35,Male,70,4,5,2,3,3
46,67,Male,65,2,4,3,4,3
47,42,Male,61,3,2,NA,4,3
48,21,Male,86,4,NA,5,5,4
49,55,Female,NA,4,3,5,3,3
50,48,Female,86,4,5,4,6,3
