psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,35,Female,99,3,4,5,5,6
2,28,Prefer not to say,67,5,5,4,4,4
3,18,Male,70,4,3,5,3,4
4,57,Female,49,2,2,3,3,3
5,27,Male,87,NA,4,6,4,5
6,49,Prefer not to say,66,4,5,5,4,5
7,41,Female,56,3,3,4,3,5
8,48,Male,79,3,NA,2,4,5
9,37,Female,89,7,7,6,6,5
10,48,Male,67,NA,6,5,6,3
11,31,Male,67,4,5,3,4,5
12,19,Female,66,5,4,4,5,4
13,29,Female,NA,6,4,4,6,5
14,18,Male,62,3,3,4,2,3
15,37,Non-binary,78,2,3,4,4,4
16,54,Female,74,4,4,4,3,4
17,21,Prefer not to say,NA,6,5,5,5,7
18,39,Female,62,3,3,4,4,4
19,45,Male,59,2,3,5,3,5
20,53,Female,58,2,3,4,4,2
21,56,Male,89,4,6,6,5,6
22,64,Male,60,2,4,3,2,3
23,51,Male,66,3,3,3,5,5
24,58,Prefer not to say,55,3,4,NA,4,4
25,49,Female,75,5,5,3,4,3
26,38,Female,81,6,3,6,3,5
27,57,Female,67,3,3,5,3,4
28,61,Prefer not to say,88,4,5,3,4,4
29,52,Prefer not to say,69,4,2,3,3,2
30,32,Male,70,3,4,4,4,4
31,46,Female,84,5,5,4,5,5
32,34,Female,58,4,4,4,4,4
33,29,Female,73,3,4,4,NA,3
34,35,Male,79,6,5,4,5,3
35,33,Prefer not to say,77,4,5,5,4,4
36,50,Male,90,5,6,6,3,4
37,28,Male,76,6,5,5,6,4
38,55,Female,68,4,3,4,4,2
39,48,Female,67,5,4,5,5,7
40,33,Female,63,3,3,4,5,NA
41,40,Female,62,1,1,3,2,1
42,64,Female,79,6,6,4,4,3
43,34,Male,90,6,5,7,6,6
44,53,Male,68,4,3,4,4,4
45,51,Male,76,7,6,6,7,7
46,40,Female,62,3,2,2,3,2
47,51,Female,80,3,2,4,5,NA
48,32,Male,72,5,4,4,NA,4
49,62,Non-binary,74,3,5,NA,3,5
50,32,Male,73,3,NA,3,2,1
