psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,20,Female,68,4,4,5,5,7
2,20,Male,79,3,4,3,4,NA
3,28,Male,55,3,3,2,4,NA
4,44,Female,84,4,6,NA,5,5
5,46,Female,67,3,3,3,3,3
6,38,Female,53,3,2,4,3,2
7,20,Female,58,3,4,3,3,3
8,64,Male,NA,3,3,2,3,3
9,56,Female,63,3,3,3,4,2
10,27,Female,56,4,4,4,3,4
11,38,Female,71,4,3,4,2,3
12,58,Male,NA,2,2,3,2,3
13,44,Female,67,3,3,5,2,3
14,23,Female,92,3,5,4,6,5
15,57,Female,81,3,5,4,5,5
16,40,Male,63,5,6,3,4,4
17,33,Non-binary,62,4,3,4,NA,4
18,28,Male,56,4,2,4,3,4
19,35,Female,66,2,3,1,1,3
20,59,Female,95,6,5,6,5,4
21,77,Female,69,4,NA,5,4,3
22,19,Female,64,3,4,3,3,3
23,59,Male,79,5,5,4,5,4
24,20,Non-binary,47,3,3,5,4,5
25,21,Male,67,3,4,3,3,3
26,46,Male,59,3,3,4,2,5
27,28,Male,67,4,NA,5,4,4
28,21,Female,43,4,2,3,3,3
29,58,Male,46,2,4,4,3,2
30,47,Male,82,5,5,5,7,6
31,44,Female,72,3,4,3,5,4
32,55,Prefer not to say,70,5,5,4,3,6
33,57,Male,73,3,3,3,2,4
34,19,Male,97,5,6,6,6,3
35,28,Female,78,4,4,NA,3,4
36,43,Male,65,3,2,3,3,2
37,52,Female,72,4,5,4,3,4
38,20,Female,96,4,5,7,5,5
39,18,Female,79,5,5,4,NA,4
40,56,Male,64,3,2,3,4,2
41,58,Female,51,3,3,2,2,2
42,34,Male,91,5,6,5,3,4
43,40,Male,74,NA,5,2,4,3
44,48,Male,73,4,5,4,4,5
45,24,Female,89,6,7,6,6,7
46,24,Male,73,4,5,3,4,4
47,25,Male,72,5,4,4,4,3
48,52,Male,85,4,5,5,5,4
49,51,Male,66,3,4,5,2,5
50,24,Male,79,NA,1,1,2,2
