psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,21,Female,79,5,5,5,6,5
2,46,Male,82,4,5,5,5,4
3,45,Female,42,2,2,1,3,2
4,20,Male,67,5,4,5,5,4
5,44,Female,74,2,2,2,3,2
6,74,Female,78,3,3,2,5,4
7,69,Male,60,3,3,3,3,3
8,63,Male,57,3,4,2,2,2
9,71,Female,85,5,5,NA,4,6
10,22,Male,88,5,5,NA,5,6
11,26,Male,46,1,2,2,1,3
12,53,Female,NA,3,2,5,3,3
13,40,Female,73,NA,6,5,4,5
14,72,Female,80,4,4,4,4,3
15,34,Prefer not to say,60,3,3,3,2,3
16,36,Male,79,5,5,4,6,4
17,64,Male,87,3,4,4,5,3
18,23,Male,77,3,4,3,4,4
19,60,Male,55,5,6,5,4,5
20,29,Male,56,3,2,2,NA,3
21,19,Male,84,4,3,5,3,4
22,49,Male,63,2,3,3,3,3
23,21,Female,70,5,6,6,4,4
24,37,Female,74,5,4,4,3,2
25,53,Female,NA,5,5,4,5,3
26,51,Female,64,3,3,5,4,4
27,47,Male,71,4,5,3,5,NA
28,25,Female,68,3,4,3,4,3
29,29,Female,72,5,4,6,4,5
30,28,Female,38,2,2,1,1,2
31,48,Female,79,3,NA,3,3,3
32,37,Male,85,5,5,5,6,5
33,41,Male,66,5,3,3,4,4
34,53,Female,67,5,2,3,2,3
35,54,Female,82,3,NA,3,2,3
36,55,Male,72,3,4,4,4,4
37,37,Female,55,6,5,6,3,6
38,58,Male,70,3,4,5,3,2
39,38,Female,42,2,3,3,2,2
40,26,Male,93,6,5,5,6,5
41,49,Female,79,6,6,6,6,7
42,43,Male,73,3,2,4,4,4
43,39,Male,75,5,6,6,4,4
44,36,Non-binary,70,5,3,5,4,NA
45,59,Male,82,5,3,3,3,3
46,36,Male,71,3,4,4,5,3
47,34,Female,56,4,3,4,NA,2
48,57,Non-binary,68,NA,4,3,3,2
49,59,Female,85,5,4,3,4,4
50,50,Male,77,3,2,4,3,3
