psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,68,Male,74,4,4,4,4,4
2,41,Male,72,2,3,NA,5,4
3,47,Female,89,4,6,6,5,5
4,59,Female,95,6,6,5,6,6
5,24,Female,77,4,5,NA,4,4
6,34,Male,42,NA,NA,2,1,1
7,30,Female,75,4,3,3,5,4
8,46,Male,63,4,4,3,4,3
9,49,Female,83,4,3,5,5,3
10,57,Male,76,4,3,3,4,3
11,59,Male,68,5,6,3,NA,4
12,37,Male,66,4,4,2,4,4
13,45,Female,47,5,NA,4,5,4
14,40,Non-binary,77,4,5,5,4,4
15,41,Female,54,2,1,1,4,1
16,55,Male,74,6,5,3,3,4
17,51,Male,73,5,5,5,5,5
18,66,Female,92,6,5,6,NA,6
19,44,Male,62,2,3,3,5,4
20,30,Non-binary,91,5,6,5,4,4
21,18,Female,79,4,2,4,3,4
22,19,Male,80,6,5,6,3,6
23,77,Male,56,3,4,3,4,3
24,52,Male,88,6,6,6,5,6
25,64,Female,55,2,3,2,5,3
26,33,Male,71,5,4,3,5,4
27,48,Male,77,4,5,2,3,4
28,51,Female,66,2,4,4,3,3
29,26,Male,76,4,4,5,5,4
30,20,Female,62,2,2,2,2,3
31,47,Female,58,2,1,3,2,1
32,43,Female,66,5,5,4,5,4
33,39,Female,90,5,4,5,6,5
34,67,Female,42,2,2,4,2,2
35,44,Male,72,5,3,4,4,5
36,38,Male,76,4,3,4,4,NA
37,19,Male,88,NA,5,4,5,4
38,36,Male,NA,6,3,3,3,5
39,41,Female,48,3,4,4,3,5
40,31,Male,61,5,2,4,3,3
41,48,Male,65,3,3,2,2,NA
42,47,Male,71,4,5,5,3,3
43,54,Male,69,3,7,4,3,3
44,73,Male,59,4,5,3,4,6
45,52,Male,NA,2,2,3,3,3
46,20,Female,72,4,5,4,4,5
47,58,Female,75,3,5,5,3,3
48,34,Female,69,6,4,4,5,5
49,67,Female,84,6,5,4,6,5
50,53,Female,61,3,3,3,4,4
