psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,27,Female,83,6,6,5,4,5
2,24,Female,77,5,3,3,4,3
3,31,Female,69,2,4,2,4,5
4,45,Female,58,4,4,2,6,3
5,64,Female,NA,3,4,2,2,3
6,43,Non-binary,62,3,2,NA,2,5
7,49,Male,50,3,NA,4,3,2
8,52,Female,50,1,3,2,1,2
9,62,Male,82,6,5,3,3,3
10,33,Female,56,3,5,4,3,2
11,22,Male,93,5,6,6,6,5
12,35,Male,66,4,3,4,4,4
13,58,Female,94,NA,5,4,NA,3
14,43,Male,87,5,7,6,7,4
15,42,Male,90,6,6,5,6,6
16,33,Male,70,5,6,3,4,5
17,53,Female,82,4,3,4,5,3
18,63,Male,86,NA,4,4,4,NA
19,46,Male,66,5,5,3,5,4
20,23,Male,79,6,4,5,6,5
21,55,Female,59,4,3,4,4,4
22,71,Female,93,7,6,NA,5,5
23,31,Female,95,5,5,6,6,7
24,43,Male,85,6,4,5,5,NA
25,49,Female,48,3,2,2,3,2
26,59,Male,59,4,4,5,4,4
27,49,Female,71,3,3,3,4,3
28,38,Female,90,5,5,4,5,4
29,30,Male,85,4,5,5,5,5
30,56,Female,81,4,5,4,4,5
31,73,Female,85,4,6,6,6,5
32,53,Female,69,5,6,4,4,5
33,32,Male,59,4,3,5,4,3
34,40,Female,86,4,4,4,2,5
35,59,Female,44,1,1,2,2,1
36,29,Female,68,3,4,4,4,3
37,63,Male,77,5,5,4,6,6
38,57,Prefer not to say,64,5,6,4,NA,4
39,40,Female,88,4,5,6,4,4
40,30,Male,75,6,6,6,4,7
41,50,Male,67,3,NA,4,3,3
42,34,Male,49,1,1,1,1,1
43,51,Female,88,5,3,3,3,4
44,38,Male,91,4,4,5,5,4
45,47,Female,61,2,2,2,2,2
46,47,Non-binary,87,4,3,5,4,4
47,42,Male,NA,5,5,5,5,5
48,35,Female,82,3,2,4,3,3
49,57,Prefer not to say,70,5,4,4,3,3
50,34,Non-binary,92,3,3,4,3,3
