psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,58,Female,81,4,3,5,4,3
2,57,Male,73,4,3,4,2,3
3,42,Male,65,2,4,3,3,3
4,48,Male,25,1,1,2,1,1
5,28,Non-binary,71,3,4,3,4,4
6,38,Female,65,2,1,4,4,2
7,30,Female,57,NA,1,2,3,1
8,68,Female,66,4,3,3,4,4
9,69,Male,74,3,4,5,6,3
10,21,Female,58,3,4,4,3,3
11,62,Female,76,3,NA,6,4,5
12,54,Male,73,5,3,4,5,5
13,60,Male,72,2,3,2,3,3
14,30,Male,84,6,5,4,4,5
15,40,Male,75,5,4,4,3,NA
16,21,Male,NA,3,4,4,4,3
17,46,Male,73,3,2,3,2,NA
18,58,Male,74,4,4,4,4,5
19,47,Male,62,3,NA,2,3,2
20,55,Female,68,3,3,3,NA,4
21,44,Female,81,5,5,4,7,4
22,61,Female,48,2,3,2,2,3
23,47,Male,84,4,4,5,6,5
24,22,Female,58,2,3,3,3,4
25,49,Non-binary,54,2,3,4,3,3
26,45,Female,87,4,3,3,4,5
27,41,Female,71,2,3,4,4,3
28,45,Male,66,4,5,3,5,5
29,36,Non-binary,52,3,3,3,3,4
30,71,Female,80,4,4,4,4,4
31,49,Male,76,6,4,3,5,4
32,58,Male,74,4,5,4,5,4
33,37,Female,56,4,2,2,3,4
34,53,Male,72,4,3,4,5,4
35,50,Female,71,4,5,4,3,3
36,30,Male,65,3,2,2,3,4
37,48,Male,68,4,2,4,4,3
38,39,Female,74,4,3,4,3,4
39,63,Female,68,3,3,3,3,3
40,30,Male,92,6,7,5,NA,5
41,61,Male,NA,6,6,4,5,6
42,55,Male,77,4,4,NA,4,5
43,61,Female,71,NA,5,5,4,6
44,52,Female,81,4,6,5,5,4
45,21,Female,78,3,5,5,5,4
46,25,Female,75,4,3,NA,5,6
47,41,Male,63,4,4,3,5,4
48,48,Male,48,2,3,1,1,1
49,56,Female,65,3,3,4,4,3
50,62,Male,47,3,3,3,1,3
