psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,55,Female,73,2,2,3,1,2
2,18,Female,82,3,2,3,3,3
3,35,Female,79,4,2,3,4,5
4,45,Male,80,4,4,4,2,5
5,57,Male,96,4,NA,6,6,NA
6,45,Male,84,5,6,5,5,4
7,40,Male,74,4,6,7,7,6
8,34,Female,72,NA,4,4,3,2
9,24,Female,78,4,6,4,NA,4
10,76,Male,64,4,4,4,4,5
11,45,Female,67,5,6,5,5,5
12,44,Male,70,4,7,5,5,5
13,32,Male,83,5,5,5,6,5
14,41,Female,68,3,3,4,4,3
15,22,Male,50,3,2,4,2,2
16,38,Male,79,4,5,4,6,5
17,18,Male,49,3,2,1,1,2
18,56,Female,81,5,4,NA,NA,3
19,34,Male,63,5,4,4,4,5
20,31,Male,75,4,4,5,4,4
21,49,Male,72,3,4,3,3,4
22,25,Female,94,5,5,5,4,6
23,34,Male,79,5,5,5,3,4
24,37,Male,61,3,5,3,3,4
25,68,Female,72,4,5,5,4,6
26,27,Male,65,3,5,1,3,1
27,35,Male,69,5,3,5,5,5
28,52,Non-binary,76,5,4,5,4,3
29,40,Female,NA,3,4,3,6,NA
30,24,Male,92,4,4,4,3,4
31,50,Male,80,5,5,3,3,3
32,34,Female,87,4,5,5,4,6
33,57,Female,85,4,3,5,4,3
34,38,Male,79,5,5,3,4,4
35,42,Non-binary,67,4,5,4,3,3
36,56,Male,69,4,3,NA,4,6
37,31,Male,76,NA,NA,6,3,5
38,42,Male,83,2,3,2,3,4
39,26,Male,54,2,2,3,2,2
40,50,Male,NA,5,4,3,4,3
41,42,Female,61,2,4,5,3,3
42,20,Male,76,4,5,3,4,4
43,27,Non-binary,78,4,6,3,4,5
44,50,Non-binary,83,4,5,4,5,4
45,33,Female,69,3,4,4,5,3
46,62,Male,62,4,3,4,5,4
47,36,Prefer not to say,61,3,4,3,4,4
48,49,Prefer not to say,59,5,3,5,4,4
49,52,Female,65,3,2,4,3,3
50,37,Prefer not to say,83,3,4,4,4,4
