psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,30,Male,75,4,4,6,3,6
2,46,Male,78,6,5,6,5,5
3,49,Male,59,2,4,2,3,2
4,34,Female,63,5,NA,5,5,5
5,28,Female,62,4,3,3,3,3
6,42,Non-binary,69,4,4,5,3,4
7,58,Male,65,4,4,3,4,3
8,20,Male,59,3,4,4,2,4
9,52,Female,64,3,4,NA,4,3
10,60,Female,64,4,4,3,4,3
11,19,Non-binary,80,NA,5,4,5,5
12,31,Male,79,6,4,6,NA,5
13,21,Female,93,5,6,NA,4,5
14,22,Male,85,5,5,5,5,4
15,48,Prefer not to say,54,2,2,4,5,2
16,25,Female,85,4,5,5,5,5
17,35,Female,73,4,4,4,4,3
18,32,Non-binary,74,5,4,3,5,4
19,28,Male,69,2,5,2,4,4
20,53,Male,77,2,3,3,2,3
21,40,Male,66,3,3,2,3,1
22,30,Male,92,3,3,3,5,5
23,80,Male,50,2,3,2,3,2
24,43,Male,50,2,1,4,2,3
25,58,Female,76,4,6,2,3,3
26,39,Female,78,6,4,5,5,5
27,56,Male,64,4,5,5,4,5
28,59,Female,33,4,NA,2,3,2
29,40,Female,67,4,5,3,3,3
30,29,Male,NA,3,6,3,5,5
31,27,Male,74,5,3,4,3,5
32,40,Male,71,3,2,3,5,3
33,56,Male,72,3,4,3,NA,4
34,48,Female,88,5,3,5,4,5
35,58,Male,80,7,5,6,6,5
36,20,Female,61,2,3,2,2,3
37,19,Male,48,3,4,2,2,2
38,46,Male,60,3,4,5,5,4
39,54,Female,90,4,4,6,5,NA
40,33,Female,75,4,2,3,3,4
41,51,Male,55,NA,2,2,1,3
42,62,Male,78,5,5,5,7,7
43,36,Female,NA,3,5,5,3,4
44,58,Male,86,4,4,4,4,4
45,53,Male,68,3,2,4,4,3
46,20,Male,52,3,1,3,4,2
47,51,Female,76,7,5,7,6,5
48,42,Female,80,5,5,2,4,NA
49,53,Female,97,6,4,5,6,3
50,40,Male,86,3,4,4,5,4
