psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Male,80,7,6,4,5,NA
2,25,Male,73,4,4,5,5,7
3,44,Female,82,2,3,4,2,3
4,43,Female,60,4,3,NA,3,4
5,56,Female,87,4,6,4,5,4
6,82,Female,NA,5,5,5,5,6
7,44,Male,79,4,4,4,4,4
8,35,Female,63,3,4,4,3,4
9,29,Female,NA,3,3,3,3,3
10,53,Male,73,4,2,4,4,3
11,18,Female,78,6,5,3,4,5
12,40,Male,67,3,3,4,2,5
13,34,Male,75,3,4,3,3,2
14,53,Female,65,5,6,4,3,5
15,48,Female,57,4,5,4,4,2
16,43,Male,74,4,3,2,4,3
17,43,Female,67,2,3,3,2,3
18,38,Male,82,4,5,NA,5,4
19,62,Male,73,3,4,4,4,4
20,49,Female,70,3,3,4,2,5
21,21,Female,81,6,6,4,NA,5
22,27,Male,83,5,4,5,5,4
23,38,Female,72,4,3,3,NA,4
24,46,Female,86,4,6,6,6,4
25,30,Female,85,5,6,5,4,4
26,43,Male,56,5,3,3,3,3
27,61,Male,49,4,4,3,4,4
28,62,Female,81,5,4,3,4,4
29,21,Male,67,3,4,3,5,3
30,44,Female,57,4,4,3,3,4
31,33,Female,95,5,NA,5,5,6
32,48,Male,74,3,4,3,4,3
33,19,Male,70,4,4,2,4,2
34,51,Female,83,NA,5,4,4,5
35,33,Female,91,6,4,4,6,5
36,66,Male,50,4,NA,3,5,4
37,29,Prefer not to say,80,4,4,5,5,4
38,38,Female,52,2,5,3,3,2
39,24,Female,75,4,4,2,3,3
40,50,Female,75,4,4,4,4,4
41,33,Female,71,5,5,5,5,6
42,25,Female,57,3,3,3,3,4
43,56,Male,78,2,4,3,3,3
44,69,Male,100,NA,5,6,7,5
45,52,Female,80,4,5,7,6,5
46,69,Female,79,5,6,7,7,6
47,54,Male,100,6,6,6,5,NA
48,65,Male,73,3,3,4,4,4
49,37,Female,68,5,4,4,4,5
50,67,Female,67,6,4,6,3,2
