psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,48,Prefer not to say,73,5,5,4,4,4
2,38,Female,73,5,5,5,5,4
3,38,Male,81,3,4,3,3,5
4,34,Female,78,4,4,4,5,4
5,63,Female,75,5,3,3,3,5
6,43,Male,73,3,3,3,3,3
7,73,Female,NA,4,5,NA,4,5
8,71,Female,63,5,5,7,5,4
9,40,Female,74,4,5,4,4,5
10,26,Prefer not to say,80,5,5,5,4,5
11,32,Female,93,4,4,4,3,5
12,43,Female,85,4,4,5,5,3
13,36,Non-binary,95,4,3,3,5,3
14,44,Female,68,3,4,4,3,4
15,43,Female,NA,3,3,3,4,3
16,47,Male,47,3,1,4,1,3
17,48,Male,66,NA,NA,3,3,NA
18,38,Female,77,3,4,2,4,4
19,57,Prefer not to say,60,2,1,2,NA,2
20,50,Female,90,7,6,5,5,5
21,56,Male,78,5,6,6,5,5
22,49,Male,46,2,3,1,2,2
23,35,Male,72,5,4,6,6,6
24,32,Male,83,3,5,4,4,5
25,51,Female,75,NA,4,4,5,3
26,30,Male,72,4,4,5,2,3
27,34,Male,73,4,4,3,5,4
28,28,Prefer not to say,75,4,NA,5,4,5
29,45,Male,64,4,4,4,5,4
30,36,Female,51,2,2,3,2,2
31,56,Male,67,3,3,3,2,2
32,75,Male,85,6,6,5,4,6
33,60,Female,91,5,6,4,5,3
34,37,Male,97,4,7,NA,4,5
35,59,Female,88,5,4,5,4,4
36,61,Female,70,4,7,5,NA,5
37,52,Female,61,3,4,5,4,3
38,31,Female,70,6,7,6,4,5
39,40,Male,59,2,2,2,3,4
40,36,Female,52,3,2,2,2,2
41,58,Non-binary,80,7,6,5,5,6
42,18,Male,68,3,3,2,3,2
43,24,Female,90,6,6,5,6,4
44,44,Male,69,3,5,5,2,4
45,18,Male,57,3,3,3,3,2
46,24,Female,70,4,4,5,4,4
47,36,Female,91,6,7,6,6,7
48,34,Female,65,5,1,3,3,4
49,26,Female,68,3,4,3,3,2
50,28,Male,74,4,3,5,3,NA
