psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Prefer not to say,60,2,3,3,4,5
2,49,Male,42,2,2,1,1,3
3,44,Female,71,3,4,NA,2,3
4,45,Male,89,5,4,4,5,6
5,57,Female,76,5,5,3,4,4
6,60,Prefer not to say,82,NA,4,5,4,5
7,48,Female,NA,5,5,5,4,5
8,26,Female,87,4,4,5,6,6
9,42,Male,74,5,3,2,2,3
10,24,Female,66,4,5,3,4,5
11,36,Female,67,3,NA,3,3,5
12,42,Male,69,4,NA,6,NA,4
13,53,Male,72,2,5,3,4,3
14,64,Female,78,5,4,4,5,5
15,33,Female,56,3,4,4,2,NA
16,24,Non-binary,63,6,6,5,5,6
17,41,Male,68,3,4,3,3,4
18,49,Non-binary,62,4,5,4,5,4
19,39,Male,72,3,3,4,4,2
20,33,Female,80,6,5,4,5,3
21,50,Female,NA,5,5,4,5,4
22,40,Female,94,6,5,7,7,5
23,20,Female,81,5,5,3,5,4
24,42,Female,73,5,4,5,2,4
25,35,Non-binary,93,4,5,6,5,4
26,18,Male,60,2,4,2,NA,2
27,32,Male,55,4,5,5,4,4
28,68,Non-binary,64,NA,2,2,1,2
29,19,Female,88,6,4,5,5,5
30,69,Female,80,3,4,5,5,4
31,33,Male,63,3,2,4,3,5
32,21,Female,63,4,4,4,2,4
33,20,Male,82,2,4,4,4,2
34,59,Male,76,1,2,NA,2,1
35,42,Male,53,3,2,4,3,NA
36,70,Male,76,7,5,5,4,4
37,23,Prefer not to say,55,6,6,5,4,3
38,19,Male,60,3,4,4,4,4
39,43,Female,80,4,4,4,4,5
40,25,Male,77,5,5,4,4,5
41,34,Female,46,2,4,2,5,2
42,37,Female,56,3,4,3,2,3
43,34,Female,100,7,7,6,7,6
44,18,Prefer not to say,66,3,2,3,4,2
45,34,Female,89,5,7,6,5,6
46,56,Male,43,1,1,2,1,1
47,43,Male,68,4,4,5,3,5
48,32,Female,57,5,4,3,4,2
49,23,Non-binary,82,3,3,4,3,3
50,44,Female,79,4,3,3,5,4
