psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,45,Male,82,5,4,4,3,5
2,38,Male,62,NA,2,3,2,4
3,41,Female,79,4,3,4,6,3
4,51,Female,75,4,5,5,4,5
5,21,Male,59,5,3,6,NA,2
6,36,Male,79,4,6,6,3,3
7,36,Female,62,4,3,4,4,4
8,46,Male,63,5,3,4,3,3
9,44,Male,58,3,3,4,4,3
10,45,Female,59,3,4,2,3,NA
11,56,Non-binary,60,4,4,2,5,3
12,41,Male,77,5,4,6,3,6
13,41,Male,70,3,3,3,4,4
14,33,Female,83,5,4,4,5,4
15,33,Female,73,3,NA,4,5,4
16,72,Male,64,4,4,2,3,3
17,34,Male,97,5,6,6,4,6
18,48,Male,63,4,5,5,4,4
19,32,Female,70,3,3,4,4,3
20,60,Male,85,5,5,4,3,5
21,39,Female,50,4,3,4,4,2
22,45,Female,72,4,5,5,3,4
23,51,Male,60,3,4,3,4,5
24,29,Male,52,5,5,4,3,5
25,27,Female,63,2,4,3,3,2
26,51,Female,45,3,4,3,NA,NA
27,68,Male,85,4,5,6,4,5
28,22,Female,68,4,4,4,5,6
29,51,Female,72,4,5,3,3,3
30,44,Male,58,3,3,NA,2,1
31,39,Male,38,1,2,1,1,1
32,50,Male,NA,4,5,4,4,6
33,58,Male,100,5,6,5,7,7
34,67,Male,71,4,2,3,3,5
35,45,Non-binary,73,2,4,4,5,4
36,30,Prefer not to say,62,4,4,4,4,3
37,57,Female,86,4,4,6,5,4
38,59,Female,57,2,2,2,2,3
39,41,Female,69,4,3,4,5,4
40,46,Female,67,3,4,4,4,3
41,21,Female,77,5,6,4,3,4
42,53,Female,52,4,2,NA,3,1
43,53,Female,93,6,7,5,5,6
44,38,Prefer not to say,69,4,2,3,4,3
45,21,Prefer not to say,NA,5,4,3,5,6
46,45,Male,90,4,4,4,4,5
47,47,Male,74,NA,4,4,5,2
48,45,Male,52,4,3,3,4,3
49,40,Male,74,4,6,5,5,4
50,41,Male,76,3,NA,4,4,5
