psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,72,Female,54,3,2,3,3,3
2,53,Prefer not to say,100,6,6,7,7,6
3,47,Female,74,3,3,3,4,4
4,21,Female,73,4,4,4,4,5
5,32,Non-binary,68,5,5,6,5,4
6,56,Male,91,4,4,4,4,4
7,36,Female,95,6,6,6,6,NA
8,36,Non-binary,65,3,2,4,NA,3
9,37,Female,73,5,4,4,4,5
10,71,Female,56,3,3,4,4,2
11,41,Female,67,4,3,3,3,3
12,52,Female,67,4,4,4,4,3
13,29,Non-binary,63,3,4,2,3,3
14,47,Non-binary,75,6,5,5,5,4
15,66,Female,62,5,3,3,3,3
16,53,Male,66,5,4,5,4,5
17,43,Male,65,4,4,4,4,4
18,44,Male,68,5,4,4,5,NA
19,24,Female,NA,2,NA,4,4,5
20,37,Male,37,2,1,1,2,1
21,71,Male,64,4,3,3,3,2
22,49,Male,97,4,5,4,5,4
23,56,Female,53,3,3,3,3,2
24,42,Male,NA,4,4,5,3,2
25,32,Female,56,3,4,2,4,5
26,49,Male,78,2,3,2,3,3
27,47,Male,78,6,5,4,4,5
28,50,Male,52,3,2,NA,NA,3
29,22,Male,64,2,3,3,2,3
30,53,Male,100,5,5,6,6,6
31,65,Male,87,3,4,6,4,4
32,23,Female,71,NA,4,5,3,4
33,19,Male,62,4,3,4,3,1
34,34,Male,47,4,3,1,2,2
35,28,Male,83,4,6,4,4,5
36,37,Female,65,3,2,4,3,3
37,38,Male,69,6,5,5,5,4
38,37,Male,60,4,NA,4,4,3
39,46,Female,72,4,6,5,4,5
40,50,Female,93,5,5,NA,5,4
41,52,Female,96,4,4,5,4,6
42,30,Male,80,4,5,4,4,3
43,56,Female,54,3,3,3,1,2
44,48,Male,69,4,3,4,5,4
45,27,Female,60,3,4,3,3,2
46,24,Male,87,5,5,3,6,5
47,42,Male,77,4,4,5,1,3
48,72,Female,78,5,4,3,5,4
49,58,Prefer not to say,100,6,5,7,5,6
50,20,Male,76,NA,4,5,6,5
